rank,conditions,coverage,coverage_ratio,tpr,fpr,precision,roc_quality,keep_reason
1,A11 == q AND A14 != 0.0 AND A2 != 5.0 AND A10 != n,72,0.11026033690658499,0.22167487684729065,0.06,0.625,0.16167487684729065,FINAL_SELECTION
2,A11 == q AND A14 != 0.0 AND A10 != n AND A2 != 5.0,72,0.11026033690658499,0.22167487684729065,0.06,0.625,0.16167487684729065,FINAL_SELECTION
3,A11 == q AND A2 != 5.0 AND A14 != 0.0 AND A10 != n,72,0.11026033690658499,0.22167487684729065,0.06,0.625,0.16167487684729065,FINAL_SELECTION
4,A11 == q AND A2 != 5.0 AND A10 != n AND A14 != 0.0,72,0.11026033690658499,0.22167487684729065,0.06,0.625,0.16167487684729065,FINAL_SELECTION
5,A11 == q AND A2 != 5.0 AND A8 == t AND A4 == g,55,0.08422664624808576,0.1724137931034483,0.044444444444444446,0.6363636363636364,0.12796934865900383,FINAL_SELECTION
6,A11 == q AND A2 != 5.0 AND A8 == t AND A4 != s,55,0.08422664624808576,0.1724137931034483,0.044444444444444446,0.6363636363636364,0.12796934865900383,FINAL_SELECTION
7,A11 == q AND A2 != 5.0 AND A8 != f AND A4 == g,55,0.08422664624808576,0.1724137931034483,0.044444444444444446,0.6363636363636364,0.12796934865900383,FINAL_SELECTION
8,A11 == q AND A2 != 5.0 AND A8 != f AND A4 != s,55,0.08422664624808576,0.1724137931034483,0.044444444444444446,0.6363636363636364,0.12796934865900383,FINAL_SELECTION
9,A11 == q AND A10 != n AND A14 != 0.0 AND A2 != 5.0,72,0.11026033690658499,0.22167487684729065,0.06,0.625,0.16167487684729065,FINAL_SELECTION
10,A11 == q AND A10 != n AND A2 != 5.0 AND A14 != 0.0,72,0.11026033690658499,0.22167487684729065,0.06,0.625,0.16167487684729065,FINAL_SELECTION
11,A11 == q AND A8 == t AND A2 != 5.0 AND A4 == g,55,0.08422664624808576,0.1724137931034483,0.044444444444444446,0.6363636363636364,0.12796934865900383,FINAL_SELECTION
12,A11 == q AND A8 == t AND A2 != 5.0 AND A4 != s,55,0.08422664624808576,0.1724137931034483,0.044444444444444446,0.6363636363636364,0.12796934865900383,FINAL_SELECTION
13,A11 == q AND A8 == t AND A4 == g AND A2 != 5.0,55,0.08422664624808576,0.1724137931034483,0.044444444444444446,0.6363636363636364,0.12796934865900383,FINAL_SELECTION
14,A11 == q AND A8 == t AND A4 != s AND A2 != 5.0,55,0.08422664624808576,0.1724137931034483,0.044444444444444446,0.6363636363636364,0.12796934865900383,FINAL_SELECTION
15,A11 == q AND A8 != f AND A2 != 5.0 AND A4 == g,55,0.08422664624808576,0.1724137931034483,0.044444444444444446,0.6363636363636364,0.12796934865900383,FINAL_SELECTION
16,A11 == q AND A8 != f AND A2 != 5.0 AND A4 != s,55,0.08422664624808576,0.1724137931034483,0.044444444444444446,0.6363636363636364,0.12796934865900383,FINAL_SELECTION
17,A11 == q AND A8 != f AND A4 == g AND A2 != 5.0,55,0.08422664624808576,0.1724137931034483,0.044444444444444446,0.6363636363636364,0.12796934865900383,FINAL_SELECTION
18,A11 == q AND A8 != f AND A4 != s AND A2 != 5.0,55,0.08422664624808576,0.1724137931034483,0.044444444444444446,0.6363636363636364,0.12796934865900383,FINAL_SELECTION
19,A11 != w AND A4 == g AND A10 != bb AND A14 != 2.835,492,0.7534456355283308,0.8571428571428571,0.7066666666666667,0.35365853658536583,0.15047619047619043,FINAL_SELECTION
20,A11 != w AND A4 == g AND A10 != bb AND A6 != 67,492,0.7534456355283308,0.8571428571428571,0.7066666666666667,0.35365853658536583,0.15047619047619043,FINAL_SELECTION
21,A11 != w AND A4 == g AND A10 != n AND A14 != 2.835,534,0.8177641653905053,0.9064039408866995,0.7777777777777778,0.3445692883895131,0.12862616310892172,FINAL_SELECTION
22,A11 != w AND A4 == g AND A10 != n AND A6 != 67,534,0.8177641653905053,0.9064039408866995,0.7777777777777778,0.3445692883895131,0.12862616310892172,FINAL_SELECTION
23,A11 != m AND A10 != n AND A4 != p AND A14 != 2.835,608,0.9310872894333844,0.9852216748768473,0.9066666666666666,0.32894736842105265,0.07855500821018069,FINAL_SELECTION
24,A11 != m AND A10 != n AND A4 != p AND A6 != 67,608,0.9310872894333844,0.9852216748768473,0.9066666666666666,0.32894736842105265,0.07855500821018069,FINAL_SELECTION
25,A10 != n AND A11 == q AND A14 != 0.0 AND A2 != 5.0,72,0.11026033690658499,0.22167487684729065,0.06,0.625,0.16167487684729065,FINAL_SELECTION
26,A10 != n AND A11 == q AND A2 != 5.0 AND A14 != 0.0,72,0.11026033690658499,0.22167487684729065,0.06,0.625,0.16167487684729065,FINAL_SELECTION
27,A10 != n AND A11 != m AND A4 != p AND A14 != 2.835,608,0.9310872894333844,0.9852216748768473,0.9066666666666666,0.32894736842105265,0.07855500821018069,FINAL_SELECTION
28,A10 != n AND A11 != m AND A4 != p AND A6 != 67,608,0.9310872894333844,0.9852216748768473,0.9066666666666666,0.32894736842105265,0.07855500821018069,FINAL_SELECTION
29,A10 != n AND A4 != p AND A14 != 2.835 AND A6 != 67,645,0.9877488514548239,1.0,0.9822222222222222,0.3147286821705426,0.01777777777777778,FINAL_SELECTION
30,A10 != n AND A4 != p AND A14 != 2.835 AND A11 != m,608,0.9310872894333844,0.9852216748768473,0.9066666666666666,0.32894736842105265,0.07855500821018069,FINAL_SELECTION
