rank,conditions,coverage,coverage_ratio,tpr,fpr,precision,roc_quality,keep_reason
1,A15 >= 66.0 AND A11 != 2.0 AND A13 <= 0.0 AND A14 != 0.0,347,0.5313935681470138,0.6502463054187192,0.4777777777777778,0.3804034582132565,0.1724685276409414,ROC_HULL
2,A15 >= 66.0 AND A11 != 2.0 AND A13 <= 0.0 AND A2 != 0.0,210,0.3215926493108729,0.43842364532019706,0.2688888888888889,0.4238095238095238,0.16953475643130816,ROC_HULL
3,A15 >= 66.0 AND A11 != 2.0 AND A4 <= 0.0 AND A10 != 8,426,0.6523736600306279,0.7635467980295566,0.6022222222222222,0.36384976525821594,0.1613245758073344,HIGH_QUALITY
4,A11 != 2.0 AND A2 != 0.0 AND A13 <= 0.0 AND A3 <= 16.0,142,0.21745788667687596,0.3251231527093596,0.1688888888888889,0.4647887323943662,0.1562342638204707,HIGH_QUALITY
5,A11 != 2.0 AND A2 != 0.0 AND A13 <= 0.0 AND A10 != 8,274,0.41960183767228176,0.5270935960591133,0.3711111111111111,0.3905109489051095,0.1559824849480022,HIGH_QUALITY
6,A15 >= 66.0 AND A11 != 2.0 AND A4 != 2 AND A10 != 8,459,0.7029096477794793,0.8078817733990148,0.6555555555555556,0.3572984749455338,0.15232621784345923,ROC_HULL
7,A3 <= 16.0 AND A11 != 6.0 AND A4 <= 0.0 AND A15 != 142.0,244,0.37366003062787134,0.4729064039408867,0.3288888888888889,0.39344262295081966,0.14401751505199778,HIGH_QUALITY
8,A3 <= 16.0 AND A2 != 0.0 AND A11 != 2.0 AND A9 != 0.165,183,0.28024502297090353,0.3793103448275862,0.23555555555555555,0.4207650273224044,0.14375478927203064,HIGH_QUALITY
9,A15 >= 66.0 AND A11 != 6.0 AND A10 != 8 AND A14 != 2.835,389,0.5957120980091883,0.6945812807881774,0.5511111111111111,0.36246786632390743,0.14347016967706627,HIGH_QUALITY
10,A3 <= 16.0 AND A11 != 2.0 AND A10 != 8 AND A15 != 142.0,314,0.48085758039816234,0.5714285714285714,0.44,0.36942675159235666,0.1314285714285714,HIGH_QUALITY
11,A10 != 0.0 AND A11 != 6.0 AND A3 <= 16.0,115,0.17611026033690658,0.2660098522167488,0.13555555555555557,0.46956521739130436,0.1304542966611932,HIGH_QUALITY
12,A10 != 0.0 AND A11 != 6.0 AND A9 <= 1.0 AND A2 >= 5.0,58,0.0888208269525268,0.1625615763546798,0.05555555555555555,0.5689655172413793,0.10700602079912425,ROC_HULL
13,A11 != 2.0 AND A4 <= 0.0 AND A10 != 8 AND A14 != 2.835,568,0.8698315467075038,0.9408866995073891,0.8377777777777777,0.3362676056338028,0.10310892172961139,ROC_HULL
14,A11 != 2.0 AND A10 != 8 AND A4 != 2 AND A15 != 0,608,0.9310872894333844,0.9852216748768473,0.9066666666666666,0.32894736842105265,0.07855500821018069,ROC_HULL
15,A10 != 8 AND A4 != 2 AND A15 != 0 AND A14 != 2.835,645,0.9877488514548239,1.0,0.9822222222222222,0.3147286821705426,0.01777777777777778,ROC_HULL
