algorithm,alpha_value,depth,subgroups_start,candidates_generated,subgroups_after_pruning,width,best_quality,avg_coverage,cumulative_candidates,depth_auc,depth_time,final_auc,final_width
Pure ROC,pure_roc,0,1,0,1,1,0.0,653.0,0,0.5,,0.8986486486486486,8
Pure ROC,pure_roc,1,1,97,10,10,0.7403096373684609,322.0,97,0.735454992807934,0.10857033729553223,0.8986486486486486,8
Pure ROC,pure_roc,2,10,749,10,10,0.7487129987129987,284.7,846,0.8105079869785753,1.400355339050293,0.8986486486486486,8
Pure ROC,pure_roc,3,10,663,8,8,0.7487129987129987,285.0,1509,0.9217058444999621,1.7198708057403564,0.8986486486486486,8
Pure ROC,pure_roc,4,8,486,8,8,0.7487129987129987,284.625,1995,0.9245590127943069,1.3101511001586914,0.8986486486486486,8
Hull Removal,hull_removal,1,97,97,43,43,0.7403096373684609,438.4186046511628,97,0.735454992807934,0.004832744598388672,0.9282686047391929,646
Hull Removal,hull_removal,2,3322,3322,22,22,0.7487129987129987,266.72727272727275,3419,0.9211900976606858,8.639180421829224,0.9282686047391929,646
Hull Removal,hull_removal,3,1488,1488,96,96,0.7487129987129987,317.0416666666667,4907,0.9258744038155803,4.94702672958374,0.9282686047391929,646
Hull Removal,hull_removal,4,5988,5988,646,646,0.7487129987129987,317.6470588235294,10895,0.9284342115224468,19.9012234210968,0.9282686047391929,646
Closest to Hull (n=5),closest_to_hull,1,97,97,15,15,0.7403096373684609,395.53333333333336,97,0.735454992807934,0.00609278678894043,0.9282686047391929,536
Closest to Hull (n=5),closest_to_hull,2,1165,1165,22,22,0.7487129987129987,266.72727272727275,1262,0.9211900976606858,3.7329952716827393,0.9282686047391929,536
Closest to Hull (n=5),closest_to_hull,3,1488,1488,90,90,0.7487129987129987,308.4888888888889,2750,0.9258744038155803,5.20116400718689,0.9282686047391929,536
Closest to Hull (n=5),closest_to_hull,4,5544,5544,536,536,0.7487129987129987,305.8955223880597,8294,0.9284342115224468,19.044962644577026,0.9282686047391929,536
Furthest from Diagonal (n=5),furthest_diagonal,1,97,97,15,15,0.7403096373684609,381.2,97,0.735454992807934,0.00677490234375,0.9268396547808312,682
Furthest from Diagonal (n=5),furthest_diagonal,2,1158,1158,44,44,0.7487129987129987,307.8636363636364,1255,0.920934590052237,3.2247586250305176,0.9268396547808312,682
Furthest from Diagonal (n=5),furthest_diagonal,3,3126,3126,110,110,0.7487129987129987,315.3090909090909,4381,0.9258744038155803,9.431870937347412,0.9268396547808312,682
Furthest from Diagonal (n=5),furthest_diagonal,4,6246,6246,682,682,0.7487129987129987,312.25219941348973,10627,0.9273364751305927,20.982611656188965,0.9268396547808312,682
Below Hull Threshold (1.0%),below_hull,1,97,97,18,18,0.7403096373684609,375.22222222222223,97,0.735454992807934,0.004151582717895508,0.9260920584449998,20
Below Hull Threshold (1.0%),below_hull,2,1339,1339,29,29,0.7487129987129987,346.86206896551727,1436,0.920934590052237,3.6974713802337646,0.9260920584449998,20
Below Hull Threshold (1.0%),below_hull,3,2127,2127,5,5,0.7487129987129987,283.4,3563,0.9249753955636308,5.319843292236328,0.9260920584449998,20
Below Hull Threshold (1.0%),below_hull,4,280,280,20,20,0.7487129987129987,309.15,3843,0.9260920584449998,0.9484038352966309,0.9260920584449998,20
Above Diagonal Threshold (1.0%),above_diagonal,1,97,97,18,18,0.7403096373684609,375.22222222222223,97,0.735454992807934,0.004148721694946289,0.9274169127110303,17
Above Diagonal Threshold (1.0%),above_diagonal,2,1339,1339,18,18,0.7487129987129987,268.55555555555554,1436,0.9211900976606858,3.485912799835205,0.9274169127110303,17
Above Diagonal Threshold (1.0%),above_diagonal,3,1233,1233,5,5,0.7487129987129987,283.4,2669,0.9249753955636308,4.021915435791016,0.9274169127110303,17
Above Diagonal Threshold (1.0%),above_diagonal,4,280,280,17,17,0.7487129987129987,302.8235294117647,2949,0.9274169127110303,0.9480113983154297,0.9274169127110303,17
