rank,conditions,coverage,coverage_ratio,tpr,fpr,precision,roc_quality,keep_reason
1,marital-status == 1.0 AND age >= 28.0 AND education-num >= 9.0 AND occupation != 2.0,340,0.368763557483731,0.8099547511312217,0.2296718972895863,0.5264705882352941,0.5802828538416354,ROC_HULL
2,age >= 28.0 AND relationship != 3.0 AND marital-status <= 1.0 AND occupation != 2.0,482,0.5227765726681128,0.8959276018099548,0.4051355206847361,0.4107883817427386,0.4907920811252187,ROC_HULL
3,marital-status == 1.0 AND age >= 28.0 AND education-num >= 10.0 AND relationship != 3.0,215,0.23318872017353579,0.6063348416289592,0.11554921540656206,0.6232558139534884,0.4907856262223972,ROC_HULL
4,marital-status == 1.0 AND age >= 28.0 AND education-num >= 10.0 AND education != 5.0,150,0.16268980477223427,0.4796380090497738,0.06276747503566334,0.7066666666666667,0.41687053401411045,ROC_HULL
5,age >= 28.0 AND relationship != 3.0 AND occupation != 2.0 AND education-num >= 9.0,586,0.6355748373101953,0.9502262443438914,0.536376604850214,0.3583617747440273,0.41384963949367737,ROC_HULL
6,age >= 28.0 AND education-num != 1 AND occupation != 2.0 AND relationship != 3.0,648,0.702819956616052,0.9773755656108597,0.6162624821683309,0.3333333333333333,0.3611130834425288,ROC_HULL
7,education-num >= 10.0 AND relationship == 1.0 AND education != 5.0 AND fnlwgt >= 114669.25,104,0.11279826464208242,0.34841628959276016,0.03851640513552068,0.7403846153846154,0.3098998844572395,ROC_HULL
8,age >= 28.0 AND education-num != 1 AND native-country != 27,698,0.7570498915401301,0.9909502262443439,0.6833095577746077,0.3137535816618911,0.30764066846973626,ROC_HULL
9,marital-status == 1.0 AND education-num >= 10.0 AND education != 5.0 AND occupation <= 2.0,54,0.05856832971800434,0.20361990950226244,0.012838801711840228,0.8333333333333334,0.1907811077904222,ROC_HULL
10,age != 17 AND education-num != 1 AND native-country != 27,903,0.9793926247288504,1.0,0.9728958630527818,0.24473975636766335,0.02710413694721825,ROC_HULL
