rank,conditions,coverage,coverage_ratio,tpr,fpr,precision,roc_quality,keep_reason
1,marital-status == 1.0 AND age >= 28.0,379,0.41106290672451196,0.832579185520362,0.2781740370898716,0.48548812664907653,0.5544051484304904,ROC_HULL
2,age >= 28.0 AND marital-status == 1.0,379,0.41106290672451196,0.832579185520362,0.2781740370898716,0.48548812664907653,0.5544051484304904,HIGH_QUALITY
3,marital-status == 1.0 AND education-num >= 9.0,372,0.403470715835141,0.8190045248868778,0.2724679029957204,0.48655913978494625,0.5465366218911574,HIGH_QUALITY
4,marital-status == 1.0 AND age != 28.0,398,0.4316702819956616,0.8371040723981901,0.30385164051355207,0.4648241206030151,0.533252431884638,HIGH_QUALITY
5,marital-status == 1.0 AND occupation != 2.0,402,0.4360086767895879,0.8371040723981901,0.3095577746077033,0.4601990049751244,0.5275462977904868,HIGH_QUALITY
6,marital-status == 1.0 AND occupation != 4.0,387,0.4197396963123644,0.8190045248868778,0.29386590584878747,0.46770025839793283,0.5251386190380903,HIGH_QUALITY
7,occupation != 4.0 AND marital-status == 1.0,387,0.4197396963123644,0.8190045248868778,0.29386590584878747,0.46770025839793283,0.5251386190380903,HIGH_QUALITY
8,marital-status == 1.0 AND education-num >= 10.0,235,0.25488069414316705,0.6153846153846154,0.14122681883024252,0.5787234042553191,0.4741577965543729,ROC_HULL
9,education-num >= 10.0 AND relationship == 1.0,198,0.21475054229934923,0.5339366515837104,0.11412268188302425,0.5959595959595959,0.41981396970068613,ROC_HULL
10,occupation != 4.0 AND age >= 28.0,637,0.6908893709327549,0.9683257918552036,0.6034236804564908,0.3359497645211931,0.36490211139871287,ROC_HULL
11,relationship != 3.0 AND age >= 28.0,667,0.7234273318872018,0.9819004524886877,0.6419400855920114,0.32533733133433285,0.3399603668966763,ROC_HULL
12,age >= 28.0 AND occupation != 2.0,680,0.737527114967462,0.9864253393665159,0.6590584878744651,0.3205882352941177,0.3273668514920508,ROC_HULL
13,age >= 28.0 AND education-num != 1,699,0.7581344902386117,0.9909502262443439,0.6847360912981455,0.3133047210300429,0.3062141349461984,ROC_HULL
14,marital-status == 1.0 AND education <= 0,82,0.08893709327548807,0.2579185520361991,0.03566333808844508,0.6951219512195121,0.22225521394775405,ROC_HULL
15,age != 17 AND education-num != 1,904,0.9804772234273319,1.0,0.9743223965763196,0.24446902654867256,0.025677603423680417,ROC_HULL
