rank,conditions,coverage,coverage_ratio,tpr,fpr,precision,roc_quality,keep_reason
1,marital-status == 1.0 AND age >= 28.0,379,0.41106290672451196,0.832579185520362,0.2781740370898716,0.48548812664907653,0.5544051484304904,ROC_HULL
2,marital-status == 1.0 AND hours-per-week >= 40.0,363,0.39370932754880694,0.7737556561085973,0.2738944365192582,0.47107438016528924,0.4998612195893391,HIGH_QUALITY
3,relationship == 1.0 AND age >= 28.0,326,0.35357917570498915,0.7194570135746606,0.23823109843081314,0.48773006134969327,0.4812259151438475,HIGH_QUALITY
4,marital-status == 1.0 AND education-num >= 10.0,235,0.25488069414316705,0.6153846153846154,0.14122681883024252,0.5787234042553191,0.4741577965543729,ROC_HULL
5,age >= 28.0 AND marital-status <= 1.0,517,0.5607375271149675,0.9004524886877828,0.4536376604850214,0.3849129593810445,0.4468148282027614,HIGH_QUALITY
6,marital-status == 1.0 AND age >= 36.0,285,0.3091106290672451,0.6470588235294118,0.20256776034236804,0.5017543859649123,0.4444910631870438,HIGH_QUALITY
7,relationship == 1.0 AND education-num >= 10.0,198,0.21475054229934923,0.5339366515837104,0.11412268188302425,0.5959595959595959,0.41981396970068613,HIGH_QUALITY
8,marital-status != 0.0 AND sex <= 0.0,433,0.46963123644251625,0.7828054298642534,0.37089871611982883,0.3995381062355658,0.41190671374442456,HIGH_QUALITY
9,marital-status != 0.0 AND age >= 28.0,563,0.6106290672451193,0.9230769230769231,0.5121255349500713,0.3623445825932504,0.41095138812685184,HIGH_QUALITY
10,relationship == 1.0 AND capital-loss <= 0.0,329,0.35683297180043383,0.665158371040724,0.25962910128388017,0.44680851063829785,0.4055292697568438,HIGH_QUALITY
11,age >= 36.0 AND hours-per-week >= 40.0,396,0.42950108459869846,0.7239819004524887,0.33666191155492153,0.40404040404040403,0.38731998889756714,HIGH_QUALITY
12,age >= 28.0 AND sex <= 0.0,484,0.5249457700650759,0.8144796380090498,0.43366619115549215,0.371900826446281,0.3808134468535576,HIGH_QUALITY
13,age >= 28.0 AND relationship <= 3.0,606,0.6572668112798264,0.9457013574660633,0.5663338088445078,0.3448844884488449,0.37936754862155553,HIGH_QUALITY
14,age >= 28.0 AND relationship != 3.0,667,0.7234273318872018,0.9819004524886877,0.6419400855920114,0.32533733133433285,0.3399603668966763,ROC_HULL
15,marital-status == 1.0 AND education <= 0,82,0.08893709327548807,0.2579185520361991,0.03566333808844508,0.6951219512195121,0.22225521394775405,ROC_HULL
16,age != 17 AND education-num != 1,904,0.9804772234273319,1.0,0.9743223965763196,0.24446902654867256,0.025677603423680417,ROC_HULL
