algorithm,alpha_value,depth,subgroups_start,candidates_generated,subgroups_after_pruning,width,best_quality,avg_coverage,cumulative_candidates,depth_auc,depth_time,final_auc,final_width
Pure ROC,pure_roc,0,1,0,1,1,0.0,922.0,0,0.5,,0.7823826337294493,12
Pure ROC,pure_roc,1,1,120,14,14,0.5206589164800124,502.92857142857144,120,0.7411422596032817,0.30235981941223145,0.7823826337294493,12
Pure ROC,pure_roc,2,14,1369,19,19,0.5544051484304904,430.1578947368421,1489,0.8111779552158842,3.9264698028564453,0.7823826337294493,12
Pure ROC,pure_roc,3,19,1639,14,14,0.5745767197474843,396.57142857142856,3128,0.844101187056629,4.642071723937988,0.7823826337294493,12
Pure ROC,pure_roc,4,14,1045,12,12,0.5824000619670671,380.25,4173,0.8539190942480361,3.2009849548339844,0.7823826337294493,12
Hull Removal,hull_removal,1,120,120,56,56,0.5206589164800124,662.2678571428571,120,0.7411422596032817,0.003494739532470703,0.8615132874174579,44
Hull Removal,hull_removal,2,5591,5591,18,18,0.5544051484304904,427.0,5711,0.8397086256866402,16.42969560623169,0.8615132874174579,44
Hull Removal,hull_removal,3,1462,1462,30,30,0.5745767197474843,440.1333333333333,7173,0.8557974709690747,4.951052665710449,0.8615132874174579,44
Hull Removal,hull_removal,4,2212,2212,44,44,0.5824000619670671,441.22727272727275,9385,0.8615132874174579,8.049187421798706,0.8615132874174579,44
Closest to Hull (n=5),closest_to_hull,1,120,120,19,19,0.5206589164800124,525.0,120,0.7411422596032817,0.004385709762573242,0.8615132874174579,38
Closest to Hull (n=5),closest_to_hull,2,1806,1806,16,16,0.5544051484304904,398.3125,1926,0.8397086256866402,6.080201625823975,0.8615132874174579,38
Closest to Hull (n=5),closest_to_hull,3,1274,1274,26,26,0.5745767197474843,408.9230769230769,3200,0.8557974709690747,4.155847072601318,0.8615132874174579,38
Closest to Hull (n=5),closest_to_hull,4,1878,1878,38,38,0.5824000619670671,410.2894736842105,5078,0.8615132874174579,7.00742769241333,0.8615132874174579,38
Furthest from Diagonal (n=5),furthest_diagonal,1,120,120,19,19,0.5206589164800124,489.94736842105266,120,0.7411422596032817,0.006213665008544922,0.8615132874174579,37
Furthest from Diagonal (n=5),furthest_diagonal,2,1796,1796,18,18,0.5544051484304904,352.0,1916,0.8385080137618528,5.77693247795105,0.8615132874174579,37
Furthest from Diagonal (n=5),furthest_diagonal,3,1420,1420,25,25,0.5745767197474843,363.48,3336,0.8557974709690747,5.168165922164917,0.8615132874174579,37
Furthest from Diagonal (n=5),furthest_diagonal,4,1770,1770,37,37,0.5824000619670671,362.8378378378378,5106,0.8615132874174579,6.659512758255005,0.8615132874174579,37
Below Hull Threshold (1.0%),below_hull,1,120,120,18,18,0.5206589164800124,497.22222222222223,120,0.7411422596032817,0.0028252601623535156,0.8592185694644366,25
Below Hull Threshold (1.0%),below_hull,2,1698,1698,19,19,0.5544051484304904,442.89473684210526,1818,0.8382143156834774,4.89849591255188,0.8592185694644366,25
Below Hull Threshold (1.0%),below_hull,3,1603,1603,7,7,0.5745767197474843,417.42857142857144,3421,0.8533155608342317,5.280412197113037,0.8592185694644366,25
Below Hull Threshold (1.0%),below_hull,4,509,509,25,25,0.5824000619670671,361.84,3930,0.8592185694644366,1.7676196098327637,0.8592185694644366,25
Above Diagonal Threshold (1.0%),above_diagonal,1,120,120,18,18,0.5206589164800124,497.22222222222223,120,0.7411422596032817,0.005274295806884766,0.8615132874174579,14
Above Diagonal Threshold (1.0%),above_diagonal,2,1698,1698,11,11,0.5544051484304904,405.1818181818182,1818,0.8397086256866402,4.930426359176636,0.8615132874174579,14
Above Diagonal Threshold (1.0%),above_diagonal,3,894,894,15,15,0.5745767197474843,429.2,2712,0.8557974709690747,2.902824878692627,0.8615132874174579,14
Above Diagonal Threshold (1.0%),above_diagonal,4,1097,1097,14,14,0.5824000619670671,443.7857142857143,3809,0.8615132874174579,3.91888165473938,0.8615132874174579,14
