algorithm,alpha_value,depth,subgroups_start,candidates_generated,subgroups_after_pruning,width,best_quality,avg_coverage,cumulative_candidates,depth_auc,depth_time,final_auc,final_width
Pure ROC,pure_roc,0,1,0,1,1,0.0,922.0,0,0.5,,0.7823826337294493,12
Pure ROC,pure_roc,1,1,120,14,14,0.5206589164800124,502.92857142857144,120,0.7411422596032817,0.14724493026733398,0.7823826337294493,12
Pure ROC,pure_roc,2,14,1369,19,19,0.5544051484304904,430.1578947368421,1489,0.8111779552158842,3.3668036460876465,0.7823826337294493,12
Pure ROC,pure_roc,3,19,1639,14,14,0.5745767197474843,396.57142857142856,3128,0.844101187056629,4.482118844985962,0.7823826337294493,12
Pure ROC,pure_roc,4,14,1045,12,12,0.5824000619670671,380.25,4173,0.8539190942480361,3.2764892578125,0.7823826337294493,12
Hull Removal,hull_removal,1,120,120,56,56,0.5206589164800124,662.2678571428571,120,0.7411422596032817,0.003808736801147461,0.8615132874174579,44
Hull Removal,hull_removal,2,5591,5591,18,18,0.5544051484304904,427.0,5711,0.8397086256866402,16.17367935180664,0.8615132874174579,44
Hull Removal,hull_removal,3,1462,1462,30,30,0.5745767197474843,440.1333333333333,7173,0.8557974709690747,4.865677833557129,0.8615132874174579,44
Hull Removal,hull_removal,4,2212,2212,44,44,0.5824000619670671,441.22727272727275,9385,0.8615132874174579,7.937677621841431,0.8615132874174579,44
Closest to Hull (n=10),closest_to_hull,1,120,120,24,24,0.5206589164800124,569.375,120,0.7411422596032817,0.007871627807617188,0.8615132874174579,45
Closest to Hull (n=10),closest_to_hull,2,2303,2303,19,19,0.5544051484304904,443.8421052631579,2423,0.8397021707838188,7.346129417419434,0.8615132874174579,45
Closest to Hull (n=10),closest_to_hull,3,1565,1565,31,31,0.5745767197474843,450.51612903225805,3988,0.8557974709690747,4.677245378494263,0.8615132874174579,45
Closest to Hull (n=10),closest_to_hull,4,2298,2298,45,45,0.5824000619670671,448.31111111111113,6286,0.8615132874174579,8.547785758972168,0.8615132874174579,45
Furthest from Diagonal (n=10),furthest_diagonal,1,120,120,24,24,0.5206589164800124,528.5,120,0.7411422596032817,0.00805974006652832,0.8615132874174579,55
Furthest from Diagonal (n=10),furthest_diagonal,2,2305,2305,25,25,0.5544051484304904,395.84,2425,0.8381917235236023,7.195124387741089,0.8615132874174579,55
Furthest from Diagonal (n=10),furthest_diagonal,3,2019,2019,36,36,0.5745767197474843,397.05555555555554,4444,0.8557490591979139,6.696690320968628,0.8615132874174579,55
Furthest from Diagonal (n=10),furthest_diagonal,4,2599,2599,55,55,0.5824000619670671,389.6545454545454,7043,0.8614648756462971,9.621216297149658,0.8615132874174579,55
Below Hull Threshold (2.0%),below_hull,1,120,120,18,18,0.5206589164800124,497.22222222222223,120,0.7411422596032817,0.0032346248626708984,0.8603159029440812,8
Below Hull Threshold (2.0%),below_hull,2,1698,1698,7,7,0.5544051484304904,443.42857142857144,1818,0.8393923354483899,5.201717376708984,0.8603159029440812,8
Below Hull Threshold (2.0%),below_hull,3,580,580,29,29,0.5745767197474843,397.8965517241379,2398,0.8549389688938233,1.8507871627807617,0.8603159029440812,8
Below Hull Threshold (2.0%),below_hull,4,2206,2206,8,8,0.5824000619670671,404.0,4604,0.8603159029440812,7.557449817657471,0.8603159029440812,8
Above Diagonal Threshold (5.0%),above_diagonal,1,120,120,18,18,0.5206589164800124,497.22222222222223,120,0.7411422596032817,0.0059070587158203125,0.8603159029440812,8
Above Diagonal Threshold (5.0%),above_diagonal,2,1698,1698,14,14,0.5544051484304904,414.42857142857144,1818,0.8385080137618528,5.263428449630737,0.8603159029440812,8
Above Diagonal Threshold (5.0%),above_diagonal,3,1152,1152,30,30,0.5745767197474843,397.93333333333334,2970,0.8552713963891275,3.723966598510742,0.8603159029440812,8
Above Diagonal Threshold (5.0%),above_diagonal,4,2195,2195,8,8,0.5824000619670671,404.0,5165,0.8603159029440812,7.017655849456787,0.8603159029440812,8
