algorithm,alpha_value,depth,subgroups_start,candidates_generated,subgroups_after_pruning,width,best_quality,avg_coverage,cumulative_candidates,depth_auc,depth_time,final_auc,final_width,dataset
Pure ROC,pure_roc,0,1,0,1,1,0.0,5644.0,0,0.5,,0.4711430443737128,12,mushroom
Pure ROC,pure_roc,1,1,175,19,19,0.7346938775510204,2644.2105263157896,175,0.8357113070415823,0.8845345973968506,0.4711430443737128,12,mushroom
Pure ROC,pure_roc,2,19,2777,15,15,0.8599172780037787,2447.2,2952,0.9374904256948818,22.37060308456421,0.4711430443737128,12,mushroom
Pure ROC,pure_roc,3,15,2062,14,14,0.9149631495634116,2433.285714285714,5014,0.9706005004170144,18.63940691947937,0.4711430443737128,12,mushroom
Pure ROC,pure_roc,4,14,1835,12,12,0.92872461745332,2433.5,6849,0.9777642082687956,17.064008474349976,0.4711430443737128,12,mushroom
Hull Removal,hull_removal,1,175,175,81,81,0.7346938775510204,2907.382716049383,175,0.8357113070415823,0.0077517032623291,0.9867959694303076,50,mushroom
Hull Removal,hull_removal,2,11648,11648,180,180,0.8599172780037787,1825.8222222222223,11823,0.973753638235945,86.880939245224,0.9867959694303076,50,mushroom
Hull Removal,hull_removal,3,12539,12539,24,24,0.9149631495634116,3325.6666666666665,24362,0.9812088304879916,101.02974224090576,0.9867959694303076,50,mushroom
Hull Removal,hull_removal,4,3372,3372,50,50,0.92872461745332,3389.12,27734,0.9867959694303076,24.44517183303833,0.9867959694303076,50,mushroom
Closest to Hull (n=10),closest_to_hull,1,175,175,29,29,0.7346938775510204,3291.0344827586205,175,0.8357113070415823,0.0081315040588378,0.9711451719970724,81,mushroom
Closest to Hull (n=10),closest_to_hull,2,4341,4341,144,144,0.8599172780037787,1803.555555555556,4516,0.973753638235945,32.10279130935669,0.9711451719970724,81,mushroom
Closest to Hull (n=10),closest_to_hull,3,12512,12512,14,14,0.9149631495634116,2060.285714285714,17028,0.9724770642201834,103.89932322502136,0.9711451719970724,81,mushroom
Closest to Hull (n=10),closest_to_hull,4,1810,1810,81,81,0.92872461745332,2129.4814814814813,18838,0.9772088985719392,14.64335012435913,0.9711451719970724,81,mushroom
Furthest from Diagonal (n=10),furthest_diagonal,1,175,175,29,29,0.7346938775510204,2986.0689655172414,175,0.8357113070415823,0.0089039802551269,0.9711451719970724,122,mushroom
Furthest from Diagonal (n=10),furthest_diagonal,2,4318,4318,146,146,0.8599172780037787,1840.7123287671236,4493,0.9686260659393032,33.68455171585083,0.9711451719970724,122,mushroom
Furthest from Diagonal (n=10),furthest_diagonal,3,12590,12590,50,50,0.9149631495634116,2271.2,17083,0.9737536382359449,105.58178377151488,0.9711451719970724,122,mushroom
Furthest from Diagonal (n=10),furthest_diagonal,4,6532,6532,122,122,0.92872461745332,2136.2622950819677,23615,0.9772088985719392,53.41071271896362,0.9711451719970724,122,mushroom
Below Hull Threshold (2.0%),below_hull,1,175,175,29,29,0.7346938775510204,3053.2413793103447,175,0.8357113070415823,0.0083410739898681,0.981400316590356,3,mushroom
Below Hull Threshold (2.0%),below_hull,2,4274,4274,7,7,0.8599172780037787,2874.285714285714,4449,0.9726472740889516,33.86035084724426,0.981400316590356,3,mushroom
Below Hull Threshold (2.0%),below_hull,3,983,983,5,5,0.9149631495634116,2851.2,5432,0.9804173545982195,6.090250492095947,0.981400316590356,3,mushroom
Below Hull Threshold (2.0%),below_hull,4,668,668,3,3,0.92872461745332,3146.6666666666665,6100,0.981400316590356,5.689288139343262,0.981400316590356,3,mushroom
Above Diagonal Threshold (5.0%),above_diagonal,1,175,175,26,26,0.7346938775510204,2834.0,175,0.8357113070415823,0.0062816143035888,0.9830683733042842,4,mushroom
Above Diagonal Threshold (5.0%),above_diagonal,2,3773,3773,6,6,0.8599172780037787,2883.333333333333,3948,0.973753638235945,28.15637993812561,0.9830683733042842,4,mushroom
Above Diagonal Threshold (5.0%),above_diagonal,3,842,842,5,5,0.9149631495634116,2871.2,4790,0.9837534680260762,6.911791324615479,0.9830683733042842,4,mushroom
Above Diagonal Threshold (5.0%),above_diagonal,4,669,669,4,4,0.92872461745332,2933.0,5459,0.9830683733042842,5.709633111953735,0.9830683733042842,4,mushroom
