algorithm,alpha_value,depth,subgroups_start,candidates_generated,subgroups_after_pruning,width,best_quality,avg_coverage,cumulative_candidates,depth_auc,depth_time,final_auc,final_width,dataset
Pure ROC,pure_roc,0,1,0,1,1,0.0,922.0,0,0.5,,0.7823826337294493,12,adult
Pure ROC,pure_roc,1,1,120,14,14,0.5206589164800124,502.9285714285714,120,0.7411422596032817,0.2547791004180908,0.7823826337294493,12,adult
Pure ROC,pure_roc,2,14,1369,19,19,0.5544051484304904,430.1578947368421,1489,0.8111779552158842,3.759143829345703,0.7823826337294493,12,adult
Pure ROC,pure_roc,3,19,1639,14,14,0.5745767197474843,396.57142857142856,3128,0.844101187056629,4.319572925567627,0.7823826337294493,12,adult
Pure ROC,pure_roc,4,14,1045,12,12,0.5824000619670671,380.25,4173,0.8539190942480361,2.4819812774658203,0.7823826337294493,12,adult
Hull Removal,hull_removal,1,120,120,56,56,0.5206589164800124,662.2678571428571,120,0.7411422596032817,0.0064897537231445,0.8615132874174579,44,adult
Hull Removal,hull_removal,2,5591,5591,18,18,0.5544051484304904,427.0,5711,0.8397086256866402,12.338199615478516,0.8615132874174579,44,adult
Hull Removal,hull_removal,3,1462,1462,30,30,0.5745767197474843,440.1333333333333,7173,0.8557974709690747,3.3849239349365234,0.8615132874174579,44,adult
Hull Removal,hull_removal,4,2212,2212,44,44,0.5824000619670671,441.2272727272728,9385,0.8615132874174579,5.926362752914429,0.8615132874174579,44,adult
Closest to Hull (n=10),closest_to_hull,1,120,120,24,24,0.5206589164800124,569.375,120,0.7411422596032817,0.0079150199890136,0.8615132874174579,45,adult
Closest to Hull (n=10),closest_to_hull,2,2303,2303,19,19,0.5544051484304904,443.8421052631579,2423,0.8397021707838188,5.385377883911133,0.8615132874174579,45,adult
Closest to Hull (n=10),closest_to_hull,3,1565,1565,31,31,0.5745767197474843,450.5161290322581,3988,0.8557974709690747,3.618484735488892,0.8615132874174579,45,adult
Closest to Hull (n=10),closest_to_hull,4,2298,2298,45,45,0.5824000619670671,448.31111111111113,6286,0.8615132874174579,5.350968599319458,0.8615132874174579,45,adult
Furthest from Diagonal (n=10),furthest_diagonal,1,120,120,24,24,0.5206589164800124,528.5,120,0.7411422596032817,0.0035083293914794,0.8615132874174579,55,adult
Furthest from Diagonal (n=10),furthest_diagonal,2,2305,2305,25,25,0.5544051484304904,395.84,2425,0.8381917235236023,5.398054838180542,0.8615132874174579,55,adult
Furthest from Diagonal (n=10),furthest_diagonal,3,2019,2019,36,36,0.5745767197474843,397.05555555555554,4444,0.8557490591979139,6.222968578338623,0.8615132874174579,55,adult
Furthest from Diagonal (n=10),furthest_diagonal,4,2599,2599,55,55,0.5824000619670671,389.6545454545454,7043,0.8614648756462971,8.202527046203613,0.8615132874174579,55,adult
Below Hull Threshold (1.0%),below_hull,1,120,120,18,18,0.5206589164800124,497.22222222222223,120,0.7411422596032817,0.0072104930877685,0.8592185694644366,25,adult
Below Hull Threshold (1.0%),below_hull,2,1698,1698,19,19,0.5544051484304904,442.89473684210526,1818,0.8382143156834774,4.178029537200928,0.8592185694644366,25,adult
Below Hull Threshold (1.0%),below_hull,3,1603,1603,7,7,0.5745767197474843,417.4285714285714,3421,0.8533155608342317,3.6515371799468994,0.8592185694644366,25,adult
Below Hull Threshold (1.0%),below_hull,4,509,509,25,25,0.5824000619670671,361.84,3930,0.8592185694644366,1.5367827415466309,0.8592185694644366,25,adult
Above Diagonal Threshold (10.0%),above_diagonal,1,120,120,18,18,0.5206589164800124,497.22222222222223,120,0.7411422596032817,0.0056633949279785,0.8592185694644366,25,adult
Above Diagonal Threshold (10.0%),above_diagonal,2,1698,1698,20,20,0.5544051484304904,409.55,1818,0.8378302489656018,3.632380485534668,0.8592185694644366,25,adult
Above Diagonal Threshold (10.0%),above_diagonal,3,1657,1657,7,7,0.5745767197474843,417.4285714285714,3475,0.8533155608342317,4.670957088470459,0.8592185694644366,25,adult
Above Diagonal Threshold (10.0%),above_diagonal,4,509,509,25,25,0.5824000619670671,361.84,3984,0.8592185694644366,1.5391762256622314,0.8592185694644366,25,adult
Pure ROC,pure_roc,0,1,0,1,1,0.0,581012.0,0,0.5,,0.720155640623545,10,Covertype
Pure ROC,pure_roc,1,1,315,28,28,0.3001700086151579,414017.1071428572,315,0.5992926808460743,51.14607214927673,0.720155640623545,10,Covertype
Pure ROC,pure_roc,2,28,8464,20,20,0.403498685202273,263752.8,8779,0.6440048673409761,1358.6803948879242,0.720155640623545,10,Covertype
Pure ROC,pure_roc,3,20,5781,12,12,0.4191887845985986,235700.66666666663,14560,0.7249374182377853,884.6289613246918,0.720155640623545,10,Covertype
Pure ROC,pure_roc,4,12,3370,10,10,0.4318556704945057,233861.2,17930,0.7572765234146461,351.6363558769226,0.720155640623545,10,Covertype
Hull Removal,hull_removal,1,315,315,116,116,0.3001700086151579,488423.7931034483,315,0.5992926808460743,0.0062983036041259,0.7616095520014162,266,Covertype
Hull Removal,hull_removal,2,10000,10000,93,93,0.403498685202273,466981.8064516129,10315,0.7433879990290788,1263.8843154907229,0.7616095520014162,266,Covertype
Hull Removal,hull_removal,3,10000,10000,198,198,0.4191887845985986,377781.8636363637,20315,0.7596037927001004,1120.0439195632937,0.7616095520014162,266,Covertype
Hull Removal,hull_removal,4,10000,10000,266,266,0.4318556704945057,340802.43233082705,30315,0.7629384088682701,1127.055168390274,0.7616095520014162,266,Covertype
Closest to Hull (n=10),closest_to_hull,1,315,315,38,38,0.3001700086151579,419198.2105263158,315,0.5992926808460743,0.0116035938262939,0.7260819469888758,329,Covertype
Closest to Hull (n=10),closest_to_hull,2,10000,10000,72,72,0.403498685202273,442917.0833333333,10315,0.7433913883676821,1734.4742832183838,0.7260819469888758,329,Covertype
Closest to Hull (n=10),closest_to_hull,3,10000,10000,159,159,0.4191887845985986,327706.1509433962,20315,0.7592599284626348,1617.76878118515,0.7260819469888758,329,Covertype
Closest to Hull (n=10),closest_to_hull,4,10000,10000,329,329,0.4318556704945057,141456.29787234042,30315,0.7260819469888758,1509.2423441410065,0.7260819469888758,329,Covertype
Furthest from Diagonal (n=10),furthest_diagonal,1,315,315,38,38,0.3001700086151579,418702.0263157895,315,0.5992926808460743,0.0129728317260742,0.7260819469888758,329,Covertype
Furthest from Diagonal (n=10),furthest_diagonal,2,10000,10000,77,77,0.403498685202273,429642.5974025974,10315,0.7247961821115849,1206.113681793213,0.7260819469888758,329,Covertype
Furthest from Diagonal (n=10),furthest_diagonal,3,10000,10000,138,138,0.4191887845985986,300532.0,20315,0.7592599284626348,1040.1276724338531,0.7260819469888758,329,Covertype
Furthest from Diagonal (n=10),furthest_diagonal,4,10000,10000,329,329,0.4318556704945057,141456.29787234042,30315,0.7260819469888758,1004.7417409420012,0.7260819469888758,329,Covertype
Below Hull Threshold (1.0%),below_hull,1,315,315,55,55,0.3001700086151579,449359.41818181815,315,0.5992926808460743,0.0083823204040527,0.7713482154952586,10,Covertype
Below Hull Threshold (1.0%),below_hull,2,10000,10000,7,7,0.403498685202273,373327.5714285714,10315,0.7423072124790022,1161.7787108421326,0.7713482154952586,10,Covertype
Below Hull Threshold (1.0%),below_hull,3,2043,2043,8,8,0.4191887845985986,328729.0,12358,0.7589422922386837,229.4737648963928,0.7713482154952586,10,Covertype
Below Hull Threshold (1.0%),below_hull,4,2256,2256,10,10,0.4318556704945057,283122.2,14614,0.7713482154952586,253.53223705291748,0.7713482154952586,10,Covertype
Above Diagonal Threshold (10.0%),above_diagonal,1,315,315,46,46,0.3001700086151579,423667.8043478261,315,0.5992926808460743,0.0065109729766845,0.7718838605507189,8,Covertype
Above Diagonal Threshold (10.0%),above_diagonal,2,10000,10000,6,6,0.403498685202273,348457.1666666667,10315,0.7433395382440776,1186.1873977184296,0.7718838605507189,8,Covertype
Above Diagonal Threshold (10.0%),above_diagonal,3,1738,1738,7,7,0.4191887845985986,301444.4285714286,12053,0.758355467984165,203.0918595790863,0.7718838605507189,8,Covertype
Above Diagonal Threshold (10.0%),above_diagonal,4,1956,1956,8,8,0.4318556704945057,323163.0,14009,0.7718838605507189,214.72259855270383,0.7718838605507189,8,Covertype
Pure ROC,pure_roc,0,1,0,1,1,0.0,653.0,0,0.5,,0.8986486486486486,8,Credit-a
Pure ROC,pure_roc,1,1,97,10,10,0.7403096373684609,322.0,97,0.735454992807934,0.2294116020202636,0.8986486486486486,8,Credit-a
Pure ROC,pure_roc,2,10,749,10,10,0.7487129987129987,284.7,846,0.8105079869785753,2.0337512493133545,0.8986486486486486,8,Credit-a
Pure ROC,pure_roc,3,10,663,8,8,0.7487129987129987,285.0,1509,0.921705844499962,1.8727734088897705,0.8986486486486486,8,Credit-a
Pure ROC,pure_roc,4,8,486,8,8,0.7487129987129987,284.625,1995,0.9245590127943067,1.340547800064087,0.8986486486486486,8,Credit-a
Hull Removal,hull_removal,1,97,97,43,43,0.7403096373684609,438.4186046511628,97,0.735454992807934,0.0058372020721435,0.9282686047391928,646,Credit-a
Hull Removal,hull_removal,2,3322,3322,22,22,0.7487129987129987,266.72727272727275,3419,0.9211900976606858,7.269447565078735,0.9282686047391928,646,Credit-a
Hull Removal,hull_removal,3,1488,1488,96,96,0.7487129987129987,317.0416666666667,4907,0.9258744038155804,3.862551689147949,0.9282686047391928,646,Credit-a
Hull Removal,hull_removal,4,5988,5988,646,646,0.7487129987129987,317.6470588235294,10895,0.9284342115224468,15.306468486785889,0.9282686047391928,646,Credit-a
Closest to Hull (n=10),closest_to_hull,1,97,97,20,20,0.7403096373684609,413.65,97,0.735454992807934,0.0070846080780029,0.9282686047391928,536,Credit-a
Closest to Hull (n=10),closest_to_hull,2,1536,1536,22,22,0.7487129987129987,266.72727272727275,1633,0.9211900976606858,3.408686876296997,0.9282686047391928,536,Credit-a
Closest to Hull (n=10),closest_to_hull,3,1488,1488,90,90,0.7487129987129987,308.4888888888889,3121,0.9258744038155804,3.605724334716797,0.9282686047391928,536,Credit-a
Closest to Hull (n=10),closest_to_hull,4,5544,5544,536,536,0.7487129987129987,305.8955223880597,8665,0.9284342115224468,14.37484335899353,0.9282686047391928,536,Credit-a
Furthest from Diagonal (n=10),furthest_diagonal,1,97,97,20,20,0.7403096373684609,415.0,97,0.735454992807934,0.0062415599822998,0.9268396547808312,682,Credit-a
Furthest from Diagonal (n=10),furthest_diagonal,2,1561,1561,44,44,0.7487129987129987,307.8636363636364,1658,0.920934590052237,4.119988679885864,0.9268396547808312,682,Credit-a
Furthest from Diagonal (n=10),furthest_diagonal,3,3126,3126,110,110,0.7487129987129987,315.3090909090909,4784,0.9258744038155804,8.216556549072266,0.9268396547808312,682,Credit-a
Furthest from Diagonal (n=10),furthest_diagonal,4,6246,6246,682,682,0.7487129987129987,312.25219941348973,11030,0.9273364751305928,15.851019144058228,0.9268396547808312,682,Credit-a
Below Hull Threshold (1.0%),below_hull,1,97,97,18,18,0.7403096373684609,375.22222222222223,97,0.735454992807934,0.0040440559387207,0.9260920584449998,20,Credit-a
Below Hull Threshold (1.0%),below_hull,2,1339,1339,29,29,0.7487129987129987,346.86206896551727,1436,0.920934590052237,3.138671398162842,0.9260920584449998,20,Credit-a
Below Hull Threshold (1.0%),below_hull,3,2127,2127,5,5,0.7487129987129987,283.4,3563,0.9249753955636308,4.498222351074219,0.9260920584449998,20,Credit-a
Below Hull Threshold (1.0%),below_hull,4,280,280,20,20,0.7487129987129987,309.15,3843,0.9260920584449998,0.692345142364502,0.9260920584449998,20,Credit-a
Above Diagonal Threshold (10.0%),above_diagonal,1,97,97,18,18,0.7403096373684609,375.22222222222223,97,0.735454992807934,0.0055286884307861,0.9260920584449998,20,Credit-a
Above Diagonal Threshold (10.0%),above_diagonal,2,1339,1339,29,29,0.7487129987129987,346.86206896551727,1436,0.920934590052237,2.7224390506744385,0.9260920584449998,20,Credit-a
Above Diagonal Threshold (10.0%),above_diagonal,3,2127,2127,5,5,0.7487129987129987,283.4,3563,0.9249753955636308,4.198753356933594,0.9260920584449998,20,Credit-a
Above Diagonal Threshold (10.0%),above_diagonal,4,280,280,20,20,0.7487129987129987,309.15,3843,0.9260920584449998,0.6443643569946289,0.9260920584449998,20,Credit-a
Pure ROC,pure_roc,0,1,0,1,1,0.0,351.0,0,0.5,,0.3607407407407407,11,ionosphere
Pure ROC,pure_roc,1,1,265,22,22,0.5374603174603174,252.72727272727272,265,0.7450264550264551,0.6027064323425293,0.3607407407407407,11,ionosphere
Pure ROC,pure_roc,2,22,5375,20,20,0.6882539682539682,222.7,5640,0.8451675485008818,11.006444692611694,0.3607407407407407,11,ionosphere
Pure ROC,pure_roc,3,20,4599,16,16,0.7596825396825396,209.75,10239,0.9111640211640212,9.92668604850769,0.3607407407407407,11,ionosphere
Pure ROC,pure_roc,4,16,3503,11,11,0.7984126984126985,200.27272727272728,13742,0.9408112874779542,7.546637773513794,0.3607407407407407,11,ionosphere
Hull Removal,hull_removal,1,265,265,108,108,0.5374603174603174,272.6574074074074,265,0.7450264550264551,0.0094563961029052,0.9515873015873016,66,ionosphere
Hull Removal,hull_removal,2,10000,10000,16,16,0.6882539682539682,235.75,10265,0.8943562610229276,19.466440439224243,0.9515873015873016,66,ionosphere
Hull Removal,hull_removal,3,3732,3732,24,24,0.7596825396825396,210.95833333333331,13997,0.9290123456790124,5.9875311851501465,0.9515873015873016,66,ionosphere
Hull Removal,hull_removal,4,5271,5271,66,66,0.8073015873015873,216.2878787878788,19268,0.9502469135802468,10.360917568206789,0.9515873015873016,66,ionosphere
Closest to Hull (n=10),closest_to_hull,1,265,265,32,32,0.5374603174603174,255.84375,265,0.7450264550264551,0.0126245021820068,0.9515873015873016,198,ionosphere
Closest to Hull (n=10),closest_to_hull,2,7816,7816,16,16,0.6882539682539682,235.75,8081,0.8943562610229276,15.053406715393066,0.9515873015873016,198,ionosphere
Closest to Hull (n=10),closest_to_hull,3,3732,3732,17,17,0.7596825396825396,184.58823529411765,11813,0.9290123456790124,8.164223909378052,0.9515873015873016,198,ionosphere
Closest to Hull (n=10),closest_to_hull,4,3600,3600,198,198,0.8073015873015873,86.70707070707071,15413,0.9509347442680776,7.635861873626709,0.9515873015873016,198,ionosphere
Furthest from Diagonal (n=10),furthest_diagonal,1,265,265,32,32,0.5374603174603174,254.0625,265,0.7450264550264551,0.0085291862487792,0.9555908289241624,17,ionosphere
Furthest from Diagonal (n=10),furthest_diagonal,2,7805,7805,22,22,0.6882539682539682,239.22727272727272,8070,0.8932098765432099,14.37902545928955,0.9555908289241624,17,ionosphere
Furthest from Diagonal (n=10),furthest_diagonal,3,5171,5171,18,18,0.7596825396825396,196.72222222222223,13241,0.9316931216931216,11.06706166267395,0.9555908289241624,17,ionosphere
Furthest from Diagonal (n=10),furthest_diagonal,4,3880,3880,17,17,0.8073015873015873,206.23529411764707,17121,0.9555908289241624,7.192924976348877,0.9555908289241624,17,ionosphere
Below Hull Threshold (1.0%),below_hull,1,265,265,24,24,0.5374603174603174,252.375,265,0.7450264550264551,0.0047075748443603,0.9464021164021164,4,ionosphere
Below Hull Threshold (1.0%),below_hull,2,5854,5854,6,6,0.6882539682539682,215.66666666666663,6119,0.892310405643739,7.885576009750366,0.9464021164021164,4,ionosphere
Below Hull Threshold (1.0%),below_hull,3,1319,1319,6,6,0.7596825396825396,190.83333333333331,7438,0.9267724867724868,2.115684747695923,0.9464021164021164,4,ionosphere
Below Hull Threshold (1.0%),below_hull,4,1266,1266,4,4,0.7984126984126985,173.25,8704,0.9464021164021164,2.147294044494629,0.9464021164021164,4,ionosphere
Above Diagonal Threshold (10.0%),above_diagonal,1,265,265,32,32,0.5374603174603174,258.28125,265,0.7450264550264551,0.0053756237030029,0.9534744268077602,5,ionosphere
Above Diagonal Threshold (10.0%),above_diagonal,2,7844,7844,11,11,0.6882539682539682,220.63636363636363,8109,0.8934391534391535,10.746264696121216,0.9534744268077602,5,ionosphere
Above Diagonal Threshold (10.0%),above_diagonal,3,2522,2522,6,6,0.7596825396825396,168.66666666666666,10631,0.9310052910052912,3.56444787979126,0.9534744268077602,5,ionosphere
Above Diagonal Threshold (10.0%),above_diagonal,4,1241,1241,5,5,0.7914285714285714,173.6,11872,0.9534744268077602,2.0774991512298584,0.9534744268077602,5,ionosphere
Pure ROC,pure_roc,0,1,0,1,1,0.0,5644.0,0,0.5,,0.4711430443737128,12,mushroom
Pure ROC,pure_roc,1,1,175,19,19,0.7346938775510204,2644.2105263157896,175,0.8357113070415823,1.1312460899353027,0.4711430443737128,12,mushroom
Pure ROC,pure_roc,2,19,2777,15,15,0.8599172780037787,2447.2,2952,0.9374904256948818,17.558575868606567,0.4711430443737128,12,mushroom
Pure ROC,pure_roc,3,15,2062,14,14,0.9149631495634116,2433.285714285714,5014,0.9706005004170144,13.93555235862732,0.4711430443737128,12,mushroom
Pure ROC,pure_roc,4,14,1835,12,12,0.92872461745332,2433.5,6849,0.9777642082687956,11.009886026382446,0.4711430443737128,12,mushroom
Hull Removal,hull_removal,1,175,175,81,81,0.7346938775510204,2907.382716049383,175,0.8357113070415823,0.0050806999206542,0.9867959694303076,46,mushroom
