algorithm,alpha_value,depth,subgroups_start,candidates_generated,subgroups_after_pruning,width,best_quality,avg_coverage,cumulative_candidates,depth_auc,depth_time,final_auc,final_width,dataset
Wide Beam Search,depth_1_width_100,1,0,16,16,16,0.5176005747126438,471.6875,16,0.746680248742816,1.227308750152588,0.8068286413433909,739,adult
Wide Beam Search,depth_2_width_100,2,0,78,78,78,0.5563487787356323,515.3076923076923,94,0.742364291487069,0.5215647220611572,0.8068286413433909,739,adult
Wide Beam Search,depth_3_width_100,3,0,88,88,88,0.5747575431034483,359.8068181818182,182,0.7912597656250002,0.8998346328735352,0.8068286413433909,739,adult
Wide Beam Search,depth_4_width_100,4,0,739,739,739,0.5747575431034483,289.77401894451964,921,0.8068286413433909,1.1902809143066406,0.8068286413433909,739,adult
Wide Beam Search,depth_1_width_100,1,0,7,7,7,0.3418191994666844,354644.28571428574,7,0.6345799249375923,87.22235679626465,0.7552107198878303,978,Covertype
Wide Beam Search,depth_2_width_100,2,0,267,267,267,0.4621966189267598,382990.6666666667,274,0.6864909883434418,95.07384419441225,0.7552107198878303,978,Covertype
Wide Beam Search,depth_3_width_100,3,0,445,445,445,0.4736288707224316,309524.42696629214,719,0.7680332225688125,101.46598792076112,0.7552107198878303,978,Covertype
Wide Beam Search,depth_4_width_100,4,0,978,978,978,0.4831020122790548,309312.3701431493,1697,0.7552107198878303,91.15353083610536,0.7552107198878303,978,Covertype
Wide Beam Search,depth_1_width_100,1,0,1,1,1,0.1523809523809524,78.0,1,0.5761904761904763,1.3245344161987305,0.6016914682539682,807,Credit-a
Wide Beam Search,depth_2_width_100,2,0,27,27,27,0.1523809523809524,260.77777777777777,28,0.5971378968253969,0.4288966655731201,0.6016914682539682,807,Credit-a
Wide Beam Search,depth_3_width_100,3,0,226,226,226,0.1523809523809524,208.74778761061947,254,0.5999900793650793,0.8121261596679688,0.6016914682539682,807,Credit-a
Wide Beam Search,depth_4_width_100,4,0,807,807,807,0.1657738095238095,186.6456009913259,1061,0.6016914682539682,0.9675283432006836,0.6016914682539682,807,Credit-a
Wide Beam Search,depth_1_width_100,1,0,79,79,79,0.5374603174603174,265.67088607594934,79,0.6749911816578483,1.4603452682495115,0.943121693121693,888,ionosphere
Wide Beam Search,depth_2_width_100,2,0,513,513,513,0.7892063492063492,219.0994152046784,592,0.8746560846560847,3.370093822479248,0.943121693121693,888,ionosphere
Wide Beam Search,depth_3_width_100,3,0,582,582,582,0.8142857142857143,205.40721649484536,1174,0.9334038800705468,5.419957876205444,0.943121693121693,888,ionosphere
Wide Beam Search,depth_4_width_100,4,0,888,888,888,0.8142857142857143,196.80518018018017,2062,0.943121693121693,6.9339704513549805,0.943121693121693,888,ionosphere
Wide Beam Search,depth_1_width_100,1,0,17,17,17,0.5515832482124617,2685.4117647058824,17,0.7281718367077448,2.4194753170013428,0.8245525328475941,544,mushroom
Wide Beam Search,depth_2_width_100,2,0,66,66,66,0.7304458262291389,2748.151515151515,83,0.7300113213995814,1.5167925357818604,0.8245525328475941,544,mushroom
Wide Beam Search,depth_3_width_100,3,0,69,69,69,0.7760732026549945,2673.5942028985505,152,0.8251950659670572,1.3357837200164795,0.8245525328475941,544,mushroom
Wide Beam Search,depth_4_width_100,4,0,544,544,544,0.7760732026549945,1753.375,696,0.8245525328475941,1.1673436164855957,0.8245525328475941,544,mushroom
Wide Beam Search,depth_1_width_100,1,0,5,5,5,0.3075561030062743,426.0,5,0.5933927402902344,1.3771886825561523,0.5933927402902344,5,tic-tac-toe
Wide Beam Search,depth_2_width_100,2,0,5,5,5,0.3075561030062743,426.0,10,0.5933927402902344,0.1201207637786865,0.5933927402902344,5,tic-tac-toe
Wide Beam Search,depth_3_width_100,3,0,5,5,5,0.3075561030062743,426.0,15,0.5933927402902344,0.1274549961090088,0.5933927402902344,5,tic-tac-toe
Wide Beam Search,depth_4_width_100,4,0,5,5,5,0.3075561030062743,426.0,20,0.5933927402902344,0.1103489398956298,0.5933927402902344,5,tic-tac-toe
Wide Beam Search,depth_1_width_100,1,0,18,18,18,0.8606878182246461,320.5,18,0.8985531537081665,1.362891435623169,0.9646895214626104,482,wisconsin
Wide Beam Search,depth_2_width_100,2,0,47,47,47,0.8951874467738137,279.9574468085106,65,0.946067151062712,0.6768088340759277,0.9646895214626104,482,wisconsin
Wide Beam Search,depth_3_width_100,3,0,47,47,47,0.8997716936346012,265.6170212765957,112,0.9391409520013048,1.199087142944336,0.9646895214626104,482,wisconsin
Wide Beam Search,depth_4_width_100,4,0,482,482,482,0.8997716936346012,212.82157676348547,594,0.9646895214626104,1.6960902214050293,0.9646895214626104,482,wisconsin
Wide Beam Search,depth_1_width_100,1,0,4,4,4,0.1422427626854268,257672.5,4,0.5728691759581697,145.2680962085724,0.5868961073586869,737,YPMSD
Wide Beam Search,depth_2_width_100,2,0,123,123,123,0.146150782778486,233319.11382113825,127,0.580315489106507,162.48074316978455,0.5868961073586869,737,YPMSD
Wide Beam Search,depth_3_width_100,3,0,68,68,68,0.146150782778486,224988.70588235292,195,0.5862611744241626,159.3621232509613,0.5868961073586869,737,YPMSD
Wide Beam Search,depth_4_width_100,4,0,737,737,737,0.1463263705199759,184148.05563093623,932,0.5868961073586869,154.09428596496582,0.5868961073586869,737,YPMSD
