dataset,algorithm,alpha_value,depth,subgroups_start,candidates_generated,subgroups_after_pruning,width,best_quality,avg_coverage,depth_auc,depth_time,final_auc,final_width
adult,Beam Search (Width 100),beam_width_100_depth_1,1,0,18300,28,100,0.5176005747126438,320.92857142857144,0.7461947737068965,0.9172325730323792,0.6988427173132185,100
adult,Beam Search (Width 100),beam_width_100_depth_2,2,28,5124,947,100,0.5563487787356323,237.31256599788807,0.7014609150502873,0.9172325730323792,0.6988427173132185,100
adult,Beam Search (Width 100),beam_width_100_depth_3,3,947,173301,4228,100,0.5747575431034483,203.80487228003784,0.7301095545977012,0.9172325730323792,0.6988427173132185,100
adult,Beam Search (Width 100),beam_width_100_depth_4,4,4228,773724,4797,100,0.5491648706896551,184.58578278090476,0.6988427173132185,0.9172325730323792,0.6988427173132185,100
Credit-a,Beam Search (Width 100),beam_width_100_depth_1,1,0,62900,25,100,0.1523809523809524,276.72,0.5618055555555554,1.4547849893569946,0.570029761904762,100
Credit-a,Beam Search (Width 100),beam_width_100_depth_2,2,25,15725,897,100,0.1497023809523809,164.84838350055742,0.5600347222222222,1.4547849893569946,0.570029761904762,100
Credit-a,Beam Search (Width 100),beam_width_100_depth_3,3,897,564213,4161,100,0.1517857142857143,103.20788272049988,0.5668849206349207,1.4547849893569946,0.570029761904762,100
Credit-a,Beam Search (Width 100),beam_width_100_depth_4,4,4161,2617269,4917,100,0.1657738095238095,109.81879194630872,0.570029761904762,1.4547849893569946,0.570029761904762,100
ionosphere,Beam Search (Width 100),beam_width_100_depth_1,1,0,54400,53,100,0.5515832482124617,1130.8524590163934,0.806443200043386,2.324223339557648,0.886243386243386,100
ionosphere,Beam Search (Width 100),beam_width_100_depth_2,2,0,57824,112,100,0.7892063492063492,221.61607142857144,0.9107231040564374,2.324223339557648,0.886243386243386,100
ionosphere,Beam Search (Width 100),beam_width_100_depth_3,3,112,60928,2845,100,0.8142857142857143,196.706151142355,0.9020811287477954,2.324223339557648,0.886243386243386,100
ionosphere,Beam Search (Width 100),beam_width_100_depth_4,4,2845,1547680,7043,100,0.800952380952381,180.97089308533296,0.886243386243386,2.324223339557648,0.886243386243386,100
mushroom,Beam Search (Width 100),beam_width_100_depth_1,1,0,11700,61,100,0.5515832482124617,1130.8524590163934,0.6684150428970355,0.7352076172828674,0.5715409774465291,100
mushroom,Beam Search (Width 100),beam_width_100_depth_2,2,61,7137,1815,100,0.7304458262291389,452.8187327823691,0.6363254047934379,0.7352076172828674,0.5715409774465291,100
mushroom,Beam Search (Width 100),beam_width_100_depth_3,3,1815,212355,3983,100,0.7760732026549945,598.2530755711775,0.737119480574964,0.7352076172828674,0.5715409774465291,100
mushroom,Beam Search (Width 100),beam_width_100_depth_4,4,3983,466011,4141,100,0.7714766755865573,654.6894469934798,0.5715409774465291,0.7352076172828674,0.5715409774465291,100
tic-tac-toe,Beam Search (Width 100),beam_width_100_depth_1,1,0,2700,27,100,0.3075561030062743,319.3333333333333,0.4216097617306286,0.3514766097068786,0.4848459332537819,100
tic-tac-toe,Beam Search (Width 100),beam_width_100_depth_2,2,27,729,324,100,0.1456945994841987,106.44444444444444,0.4232120173986682,0.3514766097068786,0.4848459332537819,100
tic-tac-toe,Beam Search (Width 100),beam_width_100_depth_3,3,324,8748,1285,100,0.1437699680511182,38.7727626459144,0.4611561261018514,0.3514766097068786,0.4848459332537819,100
tic-tac-toe,Beam Search (Width 100),beam_width_100_depth_4,4,1285,34695,1343,100,0.0718849840255591,19.398361876396127,0.4848459332537819,0.3514766097068786,0.4848459332537819,100
wisconsin,Beam Search (Width 100),beam_width_100_depth_1,1,0,15500,34,100,0.8606878182246461,211.94117647058823,0.9303212596713112,0.9112815260887146,0.8116472485459058,100
wisconsin,Beam Search (Width 100),beam_width_100_depth_2,2,34,5270,966,100,0.8951874467738137,181.3167701863354,0.9111507727989272,0.9112815260887146,0.8116472485459058,100
wisconsin,Beam Search (Width 100),beam_width_100_depth_3,3,966,149730,4379,100,0.8997716936346012,171.92852249372004,0.8211826632118719,0.9112815260887146,0.8116472485459058,100
wisconsin,Beam Search (Width 100),beam_width_100_depth_4,4,4379,678745,4621,100,0.844516117342224,166.38541441246485,0.8116472485459058,0.9112815260887146,0.8116472485459058,100
