rank,conditions,coverage,coverage_ratio,tpr,fpr,precision,roc_quality,keep_reason
1,Attribute5 >= 0.41266 AND Attribute1 != 0 AND Attribute8 != -1.0 AND Attribute10 >= 0.01829,121,0.34472934472934474,0.5244444444444445,0.023809523809523808,0.9752066115702479,0.5006349206349207,FINAL_SELECTION
2,Attribute5 >= 0.41266 AND Attribute1 >= 1.0 AND Attribute8 != -1.0 AND Attribute10 >= 0.01829,121,0.34472934472934474,0.5244444444444445,0.023809523809523808,0.9752066115702479,0.5006349206349207,FINAL_SELECTION
3,Attribute5 >= 0.41266 AND Attribute1 == 1.0 AND Attribute8 != -1.0 AND Attribute10 >= 0.01829,121,0.34472934472934474,0.5244444444444445,0.023809523809523808,0.9752066115702479,0.5006349206349207,FINAL_SELECTION
4,Attribute5 >= 0.41266 AND Attribute27 <= 0.70824 AND Attribute4 >= 0.01631 AND Attribute10 != -1.0,81,0.23076923076923078,0.36,0.0,1.0,0.36,FINAL_SELECTION
5,Attribute33 != 0.0 AND Attribute4 != -1.0 AND Attribute6 != -1.0 AND Attribute5 != -1.0,266,0.7578347578347578,1.0,0.3253968253968254,0.8458646616541353,0.6746031746031746,FINAL_SELECTION
6,Attribute33 != 0.0 AND Attribute4 != -1.0 AND Attribute6 != -1.0 AND Attribute5 >= 0.41266,229,0.6524216524216524,0.9422222222222222,0.1349206349206349,0.925764192139738,0.8073015873015873,FINAL_SELECTION
7,Attribute33 != 0.0 AND Attribute4 != -1.0 AND Attribute6 != -1.0 AND Attribute25 != 0.0,266,0.7578347578347578,1.0,0.3253968253968254,0.8458646616541353,0.6746031746031746,FINAL_SELECTION
8,Attribute1 != 0 AND Attribute5 >= 0.41266 AND Attribute8 != -1.0 AND Attribute10 >= 0.01829,121,0.34472934472934474,0.5244444444444445,0.023809523809523808,0.9752066115702479,0.5006349206349207,FINAL_SELECTION
9,Attribute1 >= 1.0 AND Attribute5 >= 0.41266 AND Attribute8 != -1.0 AND Attribute10 >= 0.01829,121,0.34472934472934474,0.5244444444444445,0.023809523809523808,0.9752066115702479,0.5006349206349207,FINAL_SELECTION
10,Attribute1 == 1.0 AND Attribute5 >= 0.41266 AND Attribute8 != -1.0 AND Attribute10 >= 0.01829,121,0.34472934472934474,0.5244444444444445,0.023809523809523808,0.9752066115702479,0.5006349206349207,FINAL_SELECTION
11,Attribute27 <= 0.70824 AND Attribute5 >= 0.41266 AND Attribute4 >= 0.01631 AND Attribute10 != -1.0,81,0.23076923076923078,0.36,0.0,1.0,0.36,FINAL_SELECTION
12,Attribute4 != -1.0 AND Attribute33 != 0.0 AND Attribute6 != -1.0 AND Attribute5 != -1.0,266,0.7578347578347578,1.0,0.3253968253968254,0.8458646616541353,0.6746031746031746,FINAL_SELECTION
13,Attribute4 != -1.0 AND Attribute33 != 0.0 AND Attribute6 != -1.0 AND Attribute5 >= 0.41266,229,0.6524216524216524,0.9422222222222222,0.1349206349206349,0.925764192139738,0.8073015873015873,FINAL_SELECTION
14,Attribute4 != -1.0 AND Attribute33 != 0.0 AND Attribute6 != -1.0 AND Attribute25 != 0.0,266,0.7578347578347578,1.0,0.3253968253968254,0.8458646616541353,0.6746031746031746,FINAL_SELECTION
