rank,conditions,coverage,coverage_ratio,tpr,fpr,precision,roc_quality,keep_reason
1,Attribute33 != 0.0 AND Attribute24 != -1.0 AND Attribute6 != -1.0 AND Attribute5 >= 0.41266,227,0.6467236467236467,0.9333333333333333,0.1349206349206349,0.9251101321585903,0.7984126984126985,ROC_HULL
2,Attribute5 >= 0.41266 AND Attribute1 != 0 AND Attribute23 != 0.0 AND Attribute4 != -1.0,236,0.6723646723646723,0.9422222222222222,0.19047619047619047,0.8983050847457628,0.7517460317460317,HIGH_QUALITY
3,Attribute3 >= 0.47213499999999997 AND Attribute7 >= 0.21131 AND Attribute8 != -1.0 AND Attribute26 != -1.0,209,0.5954415954415955,0.8622222222222222,0.11904761904761904,0.9282296650717703,0.7431746031746032,HIGH_QUALITY
4,Attribute3 >= 0.47213499999999997 AND Attribute7 >= 0.21131 AND Attribute8 != -1.0,219,0.6239316239316239,0.8755555555555555,0.1746031746031746,0.8995433789954338,0.700952380952381,HIGH_QUALITY
5,Attribute5 >= 0.41266 AND Attribute1 != 0 AND Attribute3 != -1.0,243,0.6923076923076923,0.9422222222222222,0.24603174603174602,0.8724279835390947,0.6961904761904761,HIGH_QUALITY
6,Attribute5 >= 0.41266 AND Attribute4 >= -0.064735 AND Attribute6 != -1.0 AND Attribute33 != 0.0,183,0.5213675213675214,0.7688888888888888,0.07936507936507936,0.9453551912568307,0.6895238095238094,HIGH_QUALITY
7,Attribute33 != 0.0 AND Attribute24 != -1.0 AND Attribute6 != -1.0 AND Attribute4 != -1.0,264,0.7521367521367521,0.9911111111111112,0.3253968253968254,0.8446969696969697,0.6657142857142857,HIGH_QUALITY
8,Attribute5 >= 0.41266 AND Attribute1 != 0 AND Attribute8 != -1.0 AND Attribute31 >= 0.0,200,0.5698005698005698,0.8044444444444444,0.15079365079365079,0.905,0.6536507936507936,HIGH_QUALITY
9,Attribute3 >= 0.47213499999999997 AND Attribute7 >= 0.21131 AND Attribute10 != -1.0,226,0.6438746438746439,0.8755555555555555,0.23015873015873015,0.8716814159292036,0.6453968253968254,HIGH_QUALITY
10,Attribute5 >= 0.41266 AND Attribute12 != -1.0 AND Attribute9 != -1.0,249,0.7094017094017094,0.9377777777777778,0.30158730158730157,0.8473895582329317,0.6361904761904762,HIGH_QUALITY
11,Attribute33 != 0.0 AND Attribute5 != -1.0 AND Attribute16 != -1.0 AND Attribute3 != -1.0,273,0.7777777777777778,1.0,0.38095238095238093,0.8241758241758241,0.6190476190476191,HIGH_QUALITY
12,Attribute3 >= 0.47213499999999997 AND Attribute7 >= 0.21131 AND Attribute8 != -1.0 AND Attribute31 >= 0.0,186,0.5299145299145299,0.7511111111111111,0.1349206349206349,0.9086021505376344,0.6161904761904762,HIGH_QUALITY
13,Attribute5 >= 0.41266 AND Attribute1 != 0 AND Attribute23 != 0.0 AND Attribute29 >= 0.0,210,0.5982905982905983,0.8177777777777778,0.20634920634920634,0.8761904761904762,0.6114285714285714,HIGH_QUALITY
14,Attribute3 >= 0.47213499999999997 AND Attribute7 >= 0.21131 AND Attribute8 >= -0.05484 AND Attribute1 != 0,164,0.4672364672364672,0.6844444444444444,0.07936507936507936,0.9390243902439024,0.6050793650793651,HIGH_QUALITY
15,Attribute5 >= 0.41266 AND Attribute13 != 0.0 AND Attribute11 != -1.0,255,0.7264957264957265,0.9333333333333333,0.35714285714285715,0.8235294117647058,0.5761904761904761,HIGH_QUALITY
16,Attribute33 != 0.0 AND Attribute31 >= 0.0 AND Attribute1 != 0 AND Attribute18 != -1.0,228,0.6495726495726496,0.8533333333333334,0.2857142857142857,0.8421052631578947,0.5676190476190477,HIGH_QUALITY
17,Attribute33 != 0.0 AND Attribute5 != -1.0 AND Attribute6 != -1.0,280,0.7977207977207977,1.0,0.4365079365079365,0.8035714285714286,0.5634920634920635,HIGH_QUALITY
18,Attribute7 >= 0.21131 AND Attribute11 >= 0.02112 AND Attribute8 != -1.0 AND Attribute29 >= 0.0,174,0.49572649572649574,0.6977777777777778,0.1349206349206349,0.9022988505747126,0.562857142857143,HIGH_QUALITY
19,Attribute5 >= 0.41266 AND Attribute4 >= -0.064735 AND Attribute18 != 0.0,193,0.5498575498575499,0.7511111111111111,0.19047619047619047,0.8756476683937824,0.5606349206349206,HIGH_QUALITY
20,Attribute5 >= 0.41266 AND Attribute4 >= -0.064735 AND Attribute6 != -1.0 AND Attribute3 >= 0.87111,116,0.33048433048433046,0.5066666666666667,0.015873015873015872,0.9827586206896551,0.49079365079365084,ROC_HULL
