algorithm,alpha_value,depth,subgroups_start,candidates_generated,subgroups_after_pruning,width,best_quality,avg_coverage,cumulative_candidates,depth_auc,depth_time,final_auc,final_width
Pure ROC,pure_roc,0,1,0,1,1,0.0,351.0,0,0.5,,0.36074074074074075,11
Pure ROC,pure_roc,1,1,265,22,22,0.5374603174603174,252.72727272727272,265,0.7450264550264551,0.3361823558807373,0.36074074074074075,11
Pure ROC,pure_roc,2,22,5375,20,20,0.6882539682539682,222.7,5640,0.8451675485008818,13.06410002708435,0.36074074074074075,11
Pure ROC,pure_roc,3,20,4599,16,16,0.7596825396825396,209.75,10239,0.9111640211640211,13.573769569396973,0.36074074074074075,11
Pure ROC,pure_roc,4,16,3503,11,11,0.7984126984126985,200.27272727272728,13742,0.9408112874779542,11.312191247940063,0.36074074074074075,11
Hull Removal,hull_removal,1,265,265,108,108,0.5374603174603174,272.6574074074074,265,0.7450264550264551,0.01135563850402832,0.9515873015873016,14
Hull Removal,hull_removal,2,24631,24631,17,17,0.6882539682539682,238.64705882352942,24896,0.8943562610229276,63.96285891532898,0.9515873015873016,14
Hull Removal,hull_removal,3,3977,3977,18,18,0.7596825396825396,189.44444444444446,28873,0.9290123456790124,11.829571723937988,0.9515873015873016,14
Hull Removal,hull_removal,4,3836,3836,14,14,0.8073015873015873,172.14285714285714,32709,0.9515873015873016,11.079392433166504,0.9515873015873016,14
Closest to Hull (n=5),closest_to_hull,1,265,265,27,27,0.5374603174603174,249.22222222222223,265,0.7450264550264551,0.00994729995727539,0.9515873015873016,11
Closest to Hull (n=5),closest_to_hull,2,6575,6575,16,16,0.6882539682539682,235.75,6840,0.8943562610229276,15.635542392730713,0.9515873015873016,11
Closest to Hull (n=5),closest_to_hull,3,3732,3732,17,17,0.7596825396825396,184.58823529411765,10572,0.9290123456790124,8.039551019668579,0.9515873015873016,11
Closest to Hull (n=5),closest_to_hull,4,3600,3600,11,11,0.8073015873015873,149.9090909090909,14172,0.9515873015873016,8.972783327102661,0.9515873015873016,11
Furthest from Diagonal (n=5),furthest_diagonal,1,265,265,27,27,0.5374603174603174,249.22222222222223,265,0.7450264550264551,0.011997461318969727,0.9511287477954145,47
Furthest from Diagonal (n=5),furthest_diagonal,2,6575,6575,16,16,0.6882539682539682,235.75,6840,0.8943562610229276,13.374067068099976,0.9511287477954145,47
Furthest from Diagonal (n=5),furthest_diagonal,3,3732,3732,17,17,0.7596825396825396,184.58823529411765,10572,0.9290123456790124,8.84932827949524,0.9511287477954145,47
Furthest from Diagonal (n=5),furthest_diagonal,4,3600,3600,47,47,0.8073015873015873,212.0212765957447,14172,0.9511287477954145,10.706934928894043,0.9511287477954145,47
Below Hull Threshold (1.0%),below_hull,1,265,265,24,24,0.5374603174603174,252.375,265,0.7450264550264551,0.009315252304077148,0.9464021164021165,4
Below Hull Threshold (1.0%),below_hull,2,5854,5854,6,6,0.6882539682539682,215.66666666666666,6119,0.892310405643739,13.204944133758545,0.9464021164021165,4
Below Hull Threshold (1.0%),below_hull,3,1319,1319,6,6,0.7596825396825396,190.83333333333334,7438,0.9267724867724867,3.4731788635253906,0.9464021164021165,4
Below Hull Threshold (1.0%),below_hull,4,1266,1266,4,4,0.7984126984126985,173.25,8704,0.9464021164021165,3.3009302616119385,0.9464021164021165,4
Above Diagonal Threshold (1.0%),above_diagonal,1,265,265,25,25,0.5374603174603174,255.0,265,0.7450264550264551,0.00949406623840332,0.9475837742504409,4
Above Diagonal Threshold (1.0%),above_diagonal,2,6110,6110,9,9,0.6882539682539682,214.66666666666666,6375,0.8943562610229276,13.037895679473877,0.9475837742504409,4
Above Diagonal Threshold (1.0%),above_diagonal,3,2042,2042,10,10,0.7596825396825396,204.9,8417,0.9283245149911816,4.770747900009155,0.9475837742504409,4
Above Diagonal Threshold (1.0%),above_diagonal,4,2178,2178,4,4,0.7914285714285714,175.0,10595,0.9475837742504409,5.251604795455933,0.9475837742504409,4
