rank,conditions,coverage,coverage_ratio,tpr,fpr,precision,roc_quality,keep_reason
1,odor != a AND stalk-color-above-ring != g AND stalk-color-below-ring != g,4284,0.7590361445783133,1.0,0.6100917431192661,0.5032679738562091,0.38990825688073394,FINAL_SELECTION
2,odor != a AND stalk-color-above-ring != g AND ring-type != e,3844,0.6810772501771793,0.9962894248608535,0.48623853211009177,0.558792924037461,0.5100508927507617,FINAL_SELECTION
3,odor != a AND stalk-color-above-ring != g AND population != a,4284,0.7590361445783133,1.0,0.6100917431192661,0.5032679738562091,0.38990825688073394,FINAL_SELECTION
4,odor != a AND stalk-color-below-ring != g AND stalk-color-above-ring != g,4284,0.7590361445783133,1.0,0.6100917431192661,0.5032679738562091,0.38990825688073394,FINAL_SELECTION
5,odor != a AND stalk-color-below-ring != g AND ring-type != e,3844,0.6810772501771793,0.9962894248608535,0.48623853211009177,0.558792924037461,0.5100508927507617,FINAL_SELECTION
6,odor != a AND stalk-color-below-ring != g AND population != a,4284,0.7590361445783133,1.0,0.6100917431192661,0.5032679738562091,0.38990825688073394,FINAL_SELECTION
7,odor != l AND stalk-color-above-ring != g AND stalk-color-below-ring != g,4284,0.7590361445783133,1.0,0.6100917431192661,0.5032679738562091,0.38990825688073394,FINAL_SELECTION
8,odor != l AND stalk-color-above-ring != g AND ring-type != e,3844,0.6810772501771793,0.9962894248608535,0.48623853211009177,0.558792924037461,0.5100508927507617,FINAL_SELECTION
9,odor != l AND stalk-color-above-ring != g AND population != a,4284,0.7590361445783133,1.0,0.6100917431192661,0.5032679738562091,0.38990825688073394,FINAL_SELECTION
10,odor != l AND stalk-color-below-ring != g AND stalk-color-above-ring != g,4284,0.7590361445783133,1.0,0.6100917431192661,0.5032679738562091,0.38990825688073394,FINAL_SELECTION
11,odor != l AND stalk-color-below-ring != g AND ring-type != e,3844,0.6810772501771793,0.9962894248608535,0.48623853211009177,0.558792924037461,0.5100508927507617,FINAL_SELECTION
12,odor != l AND stalk-color-below-ring != g AND population != a,4284,0.7590361445783133,1.0,0.6100917431192661,0.5032679738562091,0.38990825688073394,FINAL_SELECTION
13,stalk-color-above-ring != g AND odor != a AND stalk-color-below-ring != g,4284,0.7590361445783133,1.0,0.6100917431192661,0.5032679738562091,0.38990825688073394,FINAL_SELECTION
14,stalk-color-above-ring != g AND odor != a AND ring-type != e,3844,0.6810772501771793,0.9962894248608535,0.48623853211009177,0.558792924037461,0.5100508927507617,FINAL_SELECTION
