rank,conditions,coverage,coverage_ratio,tpr,fpr,precision,roc_quality,keep_reason
1,odor != 3.0 AND stalk-root != 1.0 AND stalk-surface-below-ring != 2.0,2128,0.3770375620127569,0.9424860853432282,0.027522935779816515,0.9548872180451128,0.9149631495634116,ROC_HULL
2,odor != 3.0 AND stalk-root != 1.0,2320,0.41105598866052445,0.9424860853432282,0.08256880733944955,0.8758620689655172,0.8599172780037787,HIGH_QUALITY
3,odor != 3.0 AND stalk-root != 1.0 AND stalk-surface-below-ring != 2.0 AND cap-color != 0,2000,0.3543586109142452,0.8831168831168831,0.027522935779816515,0.952,0.8555939473370666,HIGH_QUALITY
4,odor >= 4.0 AND gill-attachment <= 0.0,1794,0.317859673990078,0.8320964749536178,0.0,1.0,0.8320964749536178,HIGH_QUALITY
5,odor != 3.0 AND stalk-root != 1.0 AND stalk-surface-above-ring != 1.0,2176,0.3855421686746988,0.87569573283859,0.08256880733944955,0.8676470588235294,0.7931269254991404,HIGH_QUALITY
6,odor != 3.0 AND stalk-root <= 2.0 AND gill-color != 0,2484,0.44011339475549255,0.9294990723562152,0.13761467889908258,0.8067632850241546,0.7918843934571327,HIGH_QUALITY
7,odor >= 4.0 AND stalk-surface-above-ring != 1.0,1668,0.29553508150248053,0.7736549165120594,0.0,1.0,0.7736549165120594,HIGH_QUALITY
8,odor != 3.0 AND stalk-root >= 2.0 AND cap-color != 0,1968,0.3486888731396173,0.8237476808905381,0.05504587155963303,0.9024390243902439,0.768701809330905,HIGH_QUALITY
9,odor != 3.0 AND stalk-root <= 2.0 AND gill-color != 0 AND cap-color != 0,2376,0.4209780297661233,0.8794063079777366,0.13761467889908258,0.797979797979798,0.7417916290786539,HIGH_QUALITY
10,odor != 3.0 AND gill-color != 0,2676,0.4741318214032601,0.9294990723562152,0.1926605504587156,0.7488789237668162,0.7368385218974995,HIGH_QUALITY
11,ring-type != 1.0 AND stalk-color-below-ring != 2.0 AND stalk-root <= 2.0 AND stalk-surface-above-ring != 3,4036,0.7150956768249468,0.9962894248608535,0.5412844036697247,0.5322101090188305,0.45500502119112873,ROC_HULL
12,stalk-color-below-ring != 2.0 AND population != 2.0 AND stalk-root <= 2.0,4492,0.7958894401133948,1.0,0.6697247706422018,0.47996438112199463,0.3302752293577982,ROC_HULL
