algorithm,alpha_value,depth,subgroups_start,candidates_generated,subgroups_after_pruning,width,best_quality,avg_coverage,cumulative_candidates,depth_auc,depth_time,final_auc,final_width
Pure ROC,pure_roc,0,1,0,1,1,0.0,5644.0,0,0.5,,0.4711430443737128,12
Pure ROC,pure_roc,1,1,175,19,19,0.7346938775510204,2644.2105263157896,175,0.8357113070415823,0.7752716541290283,0.4711430443737128,12
Pure ROC,pure_roc,2,19,2777,15,15,0.8599172780037787,2447.2,2952,0.9374904256948818,22.05216956138611,0.4711430443737128,12
Pure ROC,pure_roc,3,15,2062,14,14,0.9149631495634116,2433.285714285714,5014,0.9706005004170143,17.869624853134155,0.4711430443737128,12
Pure ROC,pure_roc,4,14,1835,12,12,0.9287246174533199,2433.5,6849,0.9777642082687955,17.039923906326294,0.4711430443737128,12
Hull Removal,hull_removal,1,175,175,81,81,0.7346938775510204,2907.382716049383,175,0.8357113070415823,0.007638692855834961,0.9867959694303077,50
Hull Removal,hull_removal,2,11648,11648,180,180,0.8599172780037787,1825.8222222222223,11823,0.973753638235945,92.0337245464325,0.9867959694303077,50
Hull Removal,hull_removal,3,12539,12539,24,24,0.9149631495634116,3325.6666666666665,24362,0.9812088304879917,99.99441313743591,0.9867959694303077,50
Hull Removal,hull_removal,4,3372,3372,50,50,0.9287246174533199,3389.12,27734,0.9867959694303077,25.21190905570984,0.9867959694303077,50
Closest to Hull (n=5),closest_to_hull,1,175,175,24,24,0.7346938775510204,2946.3333333333335,175,0.8357113070415823,0.009198427200317383,0.9773237902333577,9
Closest to Hull (n=5),closest_to_hull,2,3526,3526,133,133,0.8599172780037787,1816.1804511278197,3701,0.973753638235945,26.28769826889038,0.9773237902333577,9
Closest to Hull (n=5),closest_to_hull,3,12502,12502,8,8,0.9149631495634116,2013.5,16203,0.974213204881619,94.62075877189636,0.9773237902333577,9
Closest to Hull (n=5),closest_to_hull,4,1036,1036,9,9,0.9287246174533199,2189.3333333333335,17239,0.9773237902333577,8.295113563537598,0.9773237902333577,9
Furthest from Diagonal (n=5),furthest_diagonal,1,175,175,24,24,0.7346938775510204,3120.1666666666665,175,0.8357113070415823,0.00884389877319336,0.9711451719970723,121
Furthest from Diagonal (n=5),furthest_diagonal,2,3585,3585,137,137,0.8599172780037787,1825.0802919708028,3760,0.9698515769944341,23.71503734588623,0.9711451719970723,121
Furthest from Diagonal (n=5),furthest_diagonal,3,12525,12525,49,49,0.9149631495634116,2271.183673469388,16285,0.9737536382359449,98.93995809555054,0.9711451719970723,121
Furthest from Diagonal (n=5),furthest_diagonal,4,6402,6402,121,121,0.9287246174533199,2136.7272727272725,22687,0.9772088985719392,48.712799072265625,0.9711451719970723,121
Below Hull Threshold (1.0%),below_hull,1,175,175,26,26,0.7346938775510204,2834.0,175,0.8357113070415823,0.007232666015625,0.9830683733042842,4
Below Hull Threshold (1.0%),below_hull,2,3773,3773,7,7,0.8599172780037787,2874.285714285714,3948,0.9726472740889517,23.061898469924927,0.9830683733042842,4
Below Hull Threshold (1.0%),below_hull,3,983,983,26,26,0.9149631495634116,2644.6153846153848,4931,0.982732208813467,6.565094947814941,0.9830683733042842,4
Below Hull Threshold (1.0%),below_hull,4,3453,3453,4,4,0.9287246174533199,2933.0,8384,0.9830683733042842,24.076313018798828,0.9830683733042842,4
Above Diagonal Threshold (1.0%),above_diagonal,1,175,175,26,26,0.7346938775510204,2834.0,175,0.8357113070415823,0.006287097930908203,0.9892469915405696,6
Above Diagonal Threshold (1.0%),above_diagonal,2,3773,3773,6,6,0.8599172780037787,2883.3333333333335,3948,0.973753638235945,25.901254415512085,0.9892469915405696,6
Above Diagonal Threshold (1.0%),above_diagonal,3,842,842,5,5,0.9149631495634116,2871.2,4790,0.9837534680260762,6.286131381988525,0.9892469915405696,6
Above Diagonal Threshold (1.0%),above_diagonal,4,669,669,6,6,0.9287246174533199,2600.6666666666665,5459,0.9892469915405696,5.027646780014038,0.9892469915405696,6
