rank,conditions,coverage,coverage_ratio,tpr,fpr,precision,roc_quality,keep_reason
1,middle-middle-square != o AND top-left-square != o AND bottom-right-square != o,216,0.2254697286012526,0.3450479233226837,0.0,1.0,0.3450479233226837,ROC_HULL
2,middle-middle-square != o,618,0.6450939457202505,0.7635782747603834,0.42168674698795183,0.7734627831715211,0.3418915277724316,ROC_HULL
3,middle-middle-square != o AND top-left-square != o,386,0.40292275574112735,0.5143769968051118,0.1927710843373494,0.8341968911917098,0.32160591246776243,HIGH_QUALITY
4,middle-middle-square == x,458,0.4780793319415449,0.5846645367412141,0.27710843373493976,0.7991266375545851,0.30755610300627434,HIGH_QUALITY
5,middle-middle-square != o AND top-middle-square != x AND bottom-middle-square != x,270,0.2818371607515658,0.3769968051118211,0.10240963855421686,0.8740740740740741,0.27458716655760423,HIGH_QUALITY
6,middle-middle-square != o AND top-left-square != o AND bottom-right-square != o AND top-right-square != b,166,0.1732776617954071,0.26517571884984026,0.0,1.0,0.26517571884984026,HIGH_QUALITY
7,middle-middle-square != o AND top-middle-square != x,395,0.4123173277661795,0.5015974440894568,0.24397590361445784,0.7949367088607595,0.25762154047499897,HIGH_QUALITY
8,middle-middle-square != o AND top-left-square != o AND top-right-square != o,231,0.24112734864300625,0.3226837060702875,0.08734939759036145,0.8744588744588745,0.23533430847992606,HIGH_QUALITY
9,middle-middle-square != o AND top-left-square != o AND top-right-square != b,300,0.31315240083507306,0.39456869009584666,0.15963855421686746,0.8233333333333334,0.2349301358789792,HIGH_QUALITY
10,middle-middle-square != o AND top-left-square != b,482,0.5031315240083507,0.5814696485623003,0.35542168674698793,0.7551867219917012,0.2260479618153124,HIGH_QUALITY
11,middle-middle-square != o AND top-left-square != o AND top-right-square != o AND top-middle-square != b,178,0.18580375782881003,0.25559105431309903,0.05421686746987952,0.898876404494382,0.2013741868432195,HIGH_QUALITY
12,middle-middle-square == x AND top-left-square != b,350,0.3653444676409186,0.43450479233226835,0.23493975903614459,0.7771428571428571,0.19956503329612377,HIGH_QUALITY
