algorithm,alpha_value,depth,subgroups_start,candidates_generated,subgroups_after_pruning,width,best_quality,avg_coverage,cumulative_candidates,depth_auc,depth_time,final_auc,final_width
Pure ROC,pure_roc,0,1,0,1,1,0.0,958.0,0,0.5,,0.1985594133723392,10
Pure ROC,pure_roc,1,1,54,6,6,0.3418915277724316,594.6666666666666,54,0.653104430501559,0.05933952331542969,0.1985594133723392,10
Pure ROC,pure_roc,2,6,288,9,9,0.3418915277724316,371.6666666666667,342,0.6930260980022326,0.3551044464111328,0.1985594133723392,10
Pure ROC,pure_roc,3,9,370,11,11,0.3450479233226837,351.45454545454544,712,0.7100687093421609,0.6602921485900879,0.1985594133723392,10
Pure ROC,pure_roc,4,11,429,10,10,0.3450479233226837,352.2,1141,0.7122627891758728,0.8696961402893066,0.1985594133723392,10
Hull Removal,hull_removal,1,54,54,27,27,0.3418915277724316,402.22222222222223,54,0.653104430501559,0.002922534942626953,0.7365949420685939,38
Hull Removal,hull_removal,2,1252,1252,26,26,0.3418915277724316,279.53846153846155,1306,0.7089283652180608,2.7712488174438477,0.7365949420685939,38
Hull Removal,hull_removal,3,944,944,22,22,0.3450479233226837,338.0,2250,0.7365949420685939,2.401822328567505,0.7365949420685939,38
Hull Removal,hull_removal,4,888,888,38,38,0.3450479233226837,304.5263157894737,3138,0.7365949420685939,1.9647324085235596,0.7365949420685939,38
Closest to Hull (n=5),closest_to_hull,1,54,54,11,11,0.3418915277724316,558.5454545454545,54,0.653104430501559,0.006261587142944336,0.6325878594249201,16
Closest to Hull (n=5),closest_to_hull,2,528,528,20,20,0.32160591246776243,288.0,582,0.6663940105469803,1.1578633785247803,0.6325878594249201,16
Closest to Hull (n=5),closest_to_hull,3,760,760,8,8,0.3450479233226837,216.0,1342,0.6725239616613419,2.0893311500549316,0.6325878594249201,16
Closest to Hull (n=5),closest_to_hull,4,288,288,16,16,0.26517571884984026,166.0,1630,0.6325878594249201,0.6758167743682861,0.6325878594249201,16
Furthest from Diagonal (n=5),furthest_diagonal,1,54,54,11,11,0.3418915277724316,558.5454545454545,54,0.653104430501559,0.004685878753662109,0.6325878594249201,16
Furthest from Diagonal (n=5),furthest_diagonal,2,528,528,20,20,0.32160591246776243,288.0,582,0.6663940105469803,1.1120879650115967,0.6325878594249201,16
Furthest from Diagonal (n=5),furthest_diagonal,3,760,760,8,8,0.3450479233226837,216.0,1342,0.6725239616613419,1.788050651550293,0.6325878594249201,16
Furthest from Diagonal (n=5),furthest_diagonal,4,288,288,16,16,0.26517571884984026,166.0,1630,0.6325878594249201,0.662219762802124,0.6325878594249201,16
Below Hull Threshold (1.0%),below_hull,1,54,54,14,14,0.3418915277724316,540.0,54,0.653104430501559,0.0035903453826904297,0.6325878594249201,16
Below Hull Threshold (1.0%),below_hull,2,672,672,10,10,0.32160591246776243,347.6,726,0.6663940105469803,1.2376859188079834,0.6325878594249201,16
Below Hull Threshold (1.0%),below_hull,3,400,400,8,8,0.3450479233226837,216.0,1126,0.6725239616613419,0.9565927982330322,0.6325878594249201,16
Below Hull Threshold (1.0%),below_hull,4,288,288,16,16,0.26517571884984026,166.0,1414,0.6325878594249201,0.6084036827087402,0.6325878594249201,16
Above Diagonal Threshold (1.0%),above_diagonal,1,54,54,14,14,0.3418915277724316,540.0,54,0.653104430501559,0.005859851837158203,0.6325878594249201,16
Above Diagonal Threshold (1.0%),above_diagonal,2,672,672,10,10,0.32160591246776243,347.6,726,0.6663940105469803,1.4071171283721924,0.6325878594249201,16
Above Diagonal Threshold (1.0%),above_diagonal,3,400,400,8,8,0.3450479233226837,216.0,1126,0.6725239616613419,0.8420307636260986,0.6325878594249201,16
Above Diagonal Threshold (1.0%),above_diagonal,4,288,288,16,16,0.26517571884984026,166.0,1414,0.6325878594249201,0.6961042881011963,0.6325878594249201,16
