rank,conditions,coverage,coverage_ratio,tpr,fpr,precision,roc_quality,keep_reason
1,Bland_chromatin <= 3.0 AND Uniformity_of_cell_size <= 5.0 AND Bare_nuclei != 10 AND Marginal_adhesion != 4.0,427,0.6251830161054173,0.9391891891891891,0.04184100418410042,0.9765807962529274,0.8973481850050887,HIGH_QUALITY
2,Bland_chromatin <= 3.0 AND Uniformity_of_cell_size <= 5.0 AND Bare_nuclei != 10 AND Normal_nucleoli <= 4.0,427,0.6251830161054173,0.9391891891891891,0.04184100418410042,0.9765807962529274,0.8973481850050887,HIGH_QUALITY
3,Uniformity_of_cell_size <= 5.0 AND Bland_chromatin <= 3.0 AND Bare_nuclei != 10 AND Marginal_adhesion != 4.0,427,0.6251830161054173,0.9391891891891891,0.04184100418410042,0.9765807962529274,0.8973481850050887,ROC_HULL
4,Uniformity_of_cell_size <= 5.0 AND Bland_chromatin <= 3.0 AND Bare_nuclei != 10 AND Normal_nucleoli <= 4.0,427,0.6251830161054173,0.9391891891891891,0.04184100418410042,0.9765807962529274,0.8973481850050887,HIGH_QUALITY
5,Uniformity_of_cell_size <= 5.0 AND Bare_nuclei != 10 AND Bland_chromatin <= 3.0 AND Marginal_adhesion != 4.0,427,0.6251830161054173,0.9391891891891891,0.04184100418410042,0.9765807962529274,0.8973481850050887,HIGH_QUALITY
6,Uniformity_of_cell_size <= 5.0 AND Bare_nuclei != 10 AND Bland_chromatin <= 3.0 AND Normal_nucleoli <= 4.0,427,0.6251830161054173,0.9391891891891891,0.04184100418410042,0.9765807962529274,0.8973481850050887,HIGH_QUALITY
7,Bland_chromatin <= 3.0 AND Uniformity_of_cell_size <= 5.0 AND Bare_nuclei != 10 AND Mitoses <= 1.0,419,0.6134699853587116,0.9256756756756757,0.03347280334728033,0.9809069212410502,0.8922028723283953,ROC_HULL
8,Bland_chromatin <= 3.0 AND Uniformity_of_cell_size <= 5.0 AND Bare_nuclei != 10 AND Mitoses == 1.0,419,0.6134699853587116,0.9256756756756757,0.03347280334728033,0.9809069212410502,0.8922028723283953,HIGH_QUALITY
9,Uniformity_of_cell_size <= 5.0 AND Bland_chromatin <= 3.0 AND Bare_nuclei != 10 AND Mitoses <= 1.0,419,0.6134699853587116,0.9256756756756757,0.03347280334728033,0.9809069212410502,0.8922028723283953,HIGH_QUALITY
10,Uniformity_of_cell_size <= 5.0 AND Bland_chromatin <= 3.0 AND Bare_nuclei != 10 AND Mitoses == 1.0,419,0.6134699853587116,0.9256756756756757,0.03347280334728033,0.9809069212410502,0.8922028723283953,HIGH_QUALITY
11,Uniformity_of_cell_size <= 5.0 AND Bare_nuclei != 10 AND Bland_chromatin <= 3.0 AND Mitoses <= 1.0,419,0.6134699853587116,0.9256756756756757,0.03347280334728033,0.9809069212410502,0.8922028723283953,HIGH_QUALITY
12,Uniformity_of_cell_size <= 5.0 AND Bare_nuclei != 10 AND Bland_chromatin <= 3.0 AND Mitoses == 1.0,419,0.6134699853587116,0.9256756756756757,0.03347280334728033,0.9809069212410502,0.8922028723283953,HIGH_QUALITY
13,Uniformity_of_cell_size <= 5.0 AND Bare_nuclei != 10 AND Uniformity_of_cell_shape <= 5.0 AND Normal_nucleoli != 10,463,0.677891654465593,0.9819819819819819,0.11297071129707113,0.9416846652267818,0.8690112706849108,ROC_HULL
14,Bare_nuclei == 1 AND Uniformity_of_cell_size <= 5.0 AND Uniformity_of_cell_shape <= 5.0 AND Normal_nucleoli != 4.0,386,0.5651537335285505,0.8671171171171171,0.0041841004184100415,0.9974093264248705,0.8629330166987071,ROC_HULL
15,Bare_nuclei == 1 AND Uniformity_of_cell_size <= 5.0 AND Uniformity_of_cell_shape <= 5.0 AND Single_epithelial_cell_size <= 4.0,379,0.554904831625183,0.8536036036036037,0.0,1.0,0.8536036036036037,ROC_HULL
16,Uniformity_of_cell_size <= 5.0 AND Bare_nuclei != 10 AND Normal_nucleoli != 10 AND Mitoses != 10,473,0.6925329428989752,0.9864864864864865,0.14644351464435146,0.9260042283298098,0.8400429718421351,ROC_HULL
17,Uniformity_of_cell_size != 10 AND Bare_nuclei != 10 AND Normal_nucleoli != 10 AND Mitoses != 10,498,0.7291361639824304,0.9932432432432432,0.2384937238493724,0.8855421686746988,0.7547495193938708,ROC_HULL
18,Uniformity_of_cell_size != 10 AND Normal_nucleoli != 10 AND Bare_nuclei != 9 AND Uniformity_of_cell_shape != 10,575,0.8418740849194729,1.0,0.5481171548117155,0.7721739130434783,0.4518828451882845,ROC_HULL
