algorithm,alpha_value,depth,subgroups_start,candidates_generated,subgroups_after_pruning,width,best_quality,avg_coverage,cumulative_candidates,depth_auc,depth_time,final_auc,final_width
Pure ROC,pure_roc,0,1,0,1,1,0.0,683.0,0,0.5,,0.9793999019940443,9
Pure ROC,pure_roc,1,1,103,10,10,0.8143446794074409,288.3,103,0.9616551698141657,0.08873867988586426,0.9793999019940443,9
Pure ROC,pure_roc,2,10,762,10,10,0.8732142184025029,279.4,865,0.975036752233405,1.1189539432525635,0.9793999019940443,9
Pure ROC,pure_roc,3,10,668,9,9,0.8889799841682686,280.77777777777777,1533,0.9780381846281428,1.261221170425415,0.9793999019940443,9
Pure ROC,pure_roc,4,9,551,9,9,0.891232236420521,286.3333333333333,2084,0.9829384824154699,1.1465473175048828,0.9793999019940443,9
Hull Removal,hull_removal,1,103,103,37,37,0.8143446794074409,317.02702702702703,103,0.9616551698141657,0.00635528564453125,0.9840457612424139,2038
Hull Removal,hull_removal,2,2739,2739,57,57,0.8732142184025029,320.1578947368421,2842,0.9818971691356628,5.032045841217041,0.9840457612424139,2038
Hull Removal,hull_removal,3,3854,3854,828,828,0.8889799841682686,293.34299516908214,6696,0.9840646085415959,7.498692512512207,0.9840457612424139,2038
Hull Removal,hull_removal,4,6198,6198,2038,2038,0.891232236420521,281.35721295387634,12894,0.9843708771533038,12.639289379119873,0.9840457612424139,2038
Closest to Hull (n=5),closest_to_hull,1,103,103,15,15,0.8143446794074409,259.8666666666667,103,0.9616551698141657,0.007424831390380859,0.9832588865015643,1279
Closest to Hull (n=5),closest_to_hull,2,1084,1084,48,48,0.8732142184025029,329.2083333333333,1187,0.9818029326397527,1.9515080451965332,0.9832588865015643,1279
Closest to Hull (n=5),closest_to_hull,3,3245,3245,661,661,0.8889799841682686,295.0090771558245,4432,0.9840646085415959,6.106666326522827,0.9832588865015643,1279
Closest to Hull (n=5),closest_to_hull,4,5652,5652,1279,1279,0.891232236420521,218.94761532447225,10084,0.98410230313996,12.352454423904419,0.9832588865015643,1279
Furthest from Diagonal (n=5),furthest_diagonal,1,103,103,15,15,0.8143446794074409,313.6666666666667,103,0.9616551698141657,0.006165027618408203,0.9832588865015643,1213
Furthest from Diagonal (n=5),furthest_diagonal,2,1169,1169,54,54,0.8732142184025029,322.0925925925926,1272,0.9813788684081571,2.0187506675720215,0.9832588865015643,1213
Furthest from Diagonal (n=5),furthest_diagonal,3,3661,3661,685,685,0.8889799841682686,291.5591240875912,4933,0.9840646085415959,6.749320983886719,0.9832588865015643,1213
Furthest from Diagonal (n=5),furthest_diagonal,4,5680,5680,1213,1213,0.891232236420521,223.3734542456719,10613,0.98410230313996,11.623336791992188,0.9832588865015643,1213
Below Hull Threshold (1.0%),below_hull,1,103,103,22,22,0.8143446794074409,332.04545454545456,103,0.9616551698141657,0.006344795227050781,0.9838761355497757,29
Below Hull Threshold (1.0%),below_hull,2,1689,1689,6,6,0.8732142184025029,312.3333333333333,1792,0.9790842097327453,2.766475200653076,0.9838761355497757,29
Below Hull Threshold (1.0%),below_hull,3,405,405,7,7,0.8889799841682686,297.0,2197,0.9825945192053979,0.7445089817047119,0.9838761355497757,29
Below Hull Threshold (1.0%),below_hull,4,406,406,29,29,0.891232236420521,263.17241379310343,2603,0.9838761355497757,0.5103490352630615,0.9838761355497757,29
Above Diagonal Threshold (1.0%),above_diagonal,1,103,103,18,18,0.8143446794074409,274.3888888888889,103,0.9616551698141657,0.0021872520446777344,0.9840457612424139,8
Above Diagonal Threshold (1.0%),above_diagonal,2,1321,1321,16,16,0.8732142184025029,276.3125,1424,0.9818877454860718,2.071272850036621,0.9840457612424139,8
Above Diagonal Threshold (1.0%),above_diagonal,3,1051,1051,29,29,0.8889799841682686,266.2068965517241,2475,0.9840646085415959,1.9011003971099854,0.9840457612424139,8
Above Diagonal Threshold (1.0%),above_diagonal,4,1647,1647,8,8,0.891232236420521,290.0,4122,0.9840457612424139,3.181208848953247,0.9840457612424139,8
