rank,conditions,coverage,coverage_ratio,tpr,fpr,precision,roc_quality,keep_reason
1,marital-status == 1.0 AND age >= 28.0 AND education-num >= 9.0 AND occupation != 2.0,365,0.365,0.8060344827586207,0.23177083333333334,0.5123287671232877,0.5742636494252873,ROC_HULL
2,marital-status == 1.0 AND age >= 28.0,410,0.41,0.8318965517241379,0.2825520833333333,0.47073170731707314,0.5493444683908046,HIGH_QUALITY
3,marital-status == 1.0 AND age >= 28.0 AND education-num >= 9.0 AND hours-per-week >= 40.0,324,0.324,0.7327586206896551,0.20052083333333334,0.5246913580246914,0.5322377873563218,HIGH_QUALITY
4,age >= 28.0 AND marital-status <= 1.0 AND education-num >= 9.0 AND relationship != 3.0,479,0.479,0.8706896551724138,0.3606770833333333,0.42171189979123175,0.5100125718390804,HIGH_QUALITY
5,marital-status == 1.0 AND age >= 28.0 AND education-num >= 10.0 AND occupation != 2.0,230,0.23,0.6120689655172413,0.11458333333333333,0.6173913043478261,0.497485632183908,HIGH_QUALITY
6,marital-status == 1.0 AND hours-per-week >= 40.0 AND age != 36.0,375,0.375,0.7543103448275862,0.2604166666666667,0.4666666666666667,0.4938936781609195,HIGH_QUALITY
7,age >= 28.0 AND marital-status <= 1.0 AND education-num != 1 AND relationship != 3.0,528,0.528,0.9008620689655172,0.4153645833333333,0.3958333333333333,0.4854974856321839,HIGH_QUALITY
8,age >= 28.0 AND marital-status <= 1.0 AND education-num >= 10.0 AND relationship != 3.0,307,0.307,0.6767241379310345,0.1953125,0.511400651465798,0.4814116379310345,HIGH_QUALITY
9,age >= 28.0 AND marital-status <= 1.0 AND education-num >= 9.0 AND occupation != 0,456,0.456,0.8103448275862069,0.3489583333333333,0.41228070175438597,0.46138649425287354,HIGH_QUALITY
10,marital-status == 1.0 AND age >= 28.0 AND education-num >= 10.0 AND sex <= 0.0,201,0.201,0.5474137931034483,0.09635416666666667,0.6318407960199005,0.4510596264367816,HIGH_QUALITY
11,age >= 28.0 AND education-num >= 9.0 AND occupation != 2.0 AND relationship <= 3.0,570,0.57,0.9137931034482759,0.4661458333333333,0.3719298245614035,0.4476472701149426,HIGH_QUALITY
12,age >= 28.0 AND relationship != 3.0 AND occupation != 2.0 AND education-num >= 9.0,624,0.624,0.9482758620689655,0.5260416666666666,0.3525641025641026,0.4222341954022989,ROC_HULL
13,marital-status == 1.0 AND age >= 28.0 AND education-num >= 10.0 AND occupation <= 5.0,160,0.16,0.46551724137931033,0.06770833333333333,0.675,0.397808908045977,ROC_HULL
14,age >= 28.0 AND relationship != 3.0 AND occupation != 2.0 AND education-num != 1,701,0.701,0.978448275862069,0.6171875,0.3238231098430813,0.36126077586206895,ROC_HULL
15,relationship == 1.0 AND education-num >= 10.0 AND occupation <= 5.0 AND age >= 28.0,132,0.132,0.40086206896551724,0.05078125,0.7045454545454546,0.35008081896551724,ROC_HULL
16,age >= 28.0 AND education-num != 1,752,0.752,0.9913793103448276,0.6796875,0.3058510638297872,0.3116918103448276,ROC_HULL
17,relationship == 1.0 AND education-num >= 10.0 AND age >= 28.0 AND occupation <= 2.0,57,0.057,0.1939655172413793,0.015625,0.7894736842105263,0.1783405172413793,ROC_HULL
18,age != 17 AND education-num != 1,978,0.978,1.0,0.9713541666666666,0.23721881390593047,0.02864583333333337,ROC_HULL
