algorithm,alpha_value,depth,subgroups_start,candidates_generated,subgroups_after_pruning,width,best_quality,avg_coverage,cumulative_candidates,depth_auc,final_auc,final_width
Pure ROC,pure_roc,0,1,0,1,1,0.0,653.0,0,0.5,0.6026217843459223,13
Pure ROC,pure_roc,1,1,125,13,13,0.09627805145046531,320.9230769230769,125,0.5744937055281882,0.6026217843459223,13
Pure ROC,pure_roc,2,13,1311,14,14,0.13899288451012592,352.57142857142856,1436,0.6021948549534756,0.6026217843459223,13
Pure ROC,pure_roc,3,14,1388,14,14,0.16135741652983032,345.42857142857144,2824,0.6183415435139573,0.6026217843459223,13
Pure ROC,pure_roc,4,14,1271,13,13,0.1724685276409414,350.2307692307692,4095,0.6274329501915709,0.6026217843459223,13
Hull Removal,hull_removal,0,1,0,1,1,0.0,653.0,0,0.5,0.5073070607553368,10
Hull Removal,hull_removal,1,125,125,10,10,0.09106732348111657,521.0,125,0.5000766283524903,0.5073070607553368,10
Hull Removal,hull_removal,2,1143,1143,10,10,0.07394636015325667,505.7,1268,0.507296113847838,0.5073070607553368,10
Hull Removal,hull_removal,3,1061,1061,10,10,0.05628899835796386,491.4,2329,0.49959496442255064,0.5073070607553368,10
Hull Removal,hull_removal,4,966,966,10,10,0.06851669403393534,447.8,3295,0.4997646414887794,0.5073070607553368,10
Closest to Hull (n=10),closest_to_hull,0,1,0,1,1,0.0,653.0,0,0.5,0.5369512862616311,62
Closest to Hull (n=10),closest_to_hull,1,125,125,13,13,0.0882649151614669,447.38461538461536,125,0.5525342090859332,0.5369512862616311,62
Closest to Hull (n=10),closest_to_hull,2,1349,1349,16,16,0.11430760810071156,421.0,1474,0.5905801860974275,0.5369512862616311,62
Closest to Hull (n=10),closest_to_hull,3,1475,1475,42,42,0.14121510673234816,369.85714285714283,2949,0.6125287356321839,0.5369512862616311,62
Closest to Hull (n=10),closest_to_hull,4,3328,3328,62,62,0.1635796387520525,532.1612903225806,6277,0.5966776135741653,0.5369512862616311,62
Furthest from Diagonal (n=10),furthest_diagonal,0,1,0,1,1,0.0,653.0,0,0.5,0.5275150519978107,56
Furthest from Diagonal (n=10),furthest_diagonal,1,125,125,13,13,0.09016967706622875,251.92307692307693,125,0.5549644225506295,0.5275150519978107,56
Furthest from Diagonal (n=10),furthest_diagonal,2,1284,1284,14,14,0.13001642036124794,228.64285714285714,1409,0.5777394636015326,0.5275150519978107,56
Furthest from Diagonal (n=10),furthest_diagonal,3,1369,1369,12,12,0.1480569239189929,257.8333333333333,2778,0.5780678708264915,0.5275150519978107,56
Furthest from Diagonal (n=10),furthest_diagonal,4,1148,1148,56,56,0.15250136836343736,283.64285714285717,3926,0.5751176792556103,0.5275150519978107,56
Below Hull Threshold (1.0%),below_hull,0,1,0,1,1,0.0,653.0,0,0.5,0.5100492610837434,7
Below Hull Threshold (1.0%),below_hull,1,125,125,10,10,0.09106732348111657,521.0,125,0.5000766283524903,0.5100492610837434,7
Below Hull Threshold (1.0%),below_hull,2,1143,1143,10,10,0.07394636015325667,505.7,1268,0.507296113847838,0.5100492610837434,7
Below Hull Threshold (1.0%),below_hull,3,1061,1061,4,4,0.07373836891078267,599.25,2329,0.5383470169677066,0.5100492610837434,7
Below Hull Threshold (1.0%),below_hull,4,391,391,7,7,0.0674438970990695,613.7142857142857,2720,0.5337055281882869,0.5100492610837434,7
Above Diagonal Threshold (1.0%),above_diagonal,0,1,0,1,1,0.0,653.0,0,0.5,0.520366721401204,4
Above Diagonal Threshold (1.0%),above_diagonal,1,125,125,10,10,0.09106732348111657,521.0,125,0.5000766283524903,0.520366721401204,4
Above Diagonal Threshold (1.0%),above_diagonal,2,1143,1143,4,4,0.12898741105637657,373.0,1268,0.5644937055281882,0.520366721401204,4
Above Diagonal Threshold (1.0%),above_diagonal,3,420,420,4,4,0.16135741652983032,352.0,1688,0.5806787082649151,0.520366721401204,4
Above Diagonal Threshold (1.0%),above_diagonal,4,384,384,4,4,0.1724685276409414,347.0,2072,0.5862342638204707,0.520366721401204,4
