rank,conditions,coverage,coverage_ratio,tpr,fpr,precision,roc_quality,keep_reason
1,Population (no conditions),922,1.0,1.0,1.0,0.23969631236442515,0.0,FINAL_SELECTION
2,age >= 17,922,1.0,1.0,1.0,0.23969631236442515,0.0,FINAL_SELECTION
3,age != 17,906,0.982646420824295,1.0,0.9771754636233951,0.24392935982339956,0.022824536376604865,FINAL_SELECTION
4,age >= 28.0,701,0.7603036876355749,0.9909502262443439,0.6875891583452212,0.3124108416547789,0.30336106789912276,FINAL_SELECTION
5,age <= 28.0,246,0.2668112798264642,0.01809954751131222,0.34522111269614836,0.016260162601626018,-0.32712156518483615,FINAL_SELECTION
6,age != 28.0,897,0.972885032537961,0.9909502262443439,0.9671897289586305,0.24414715719063546,0.02376049728571339,FINAL_SELECTION
7,age >= 36.0,485,0.5260303687635575,0.7782805429864253,0.44650499286733236,0.354639175257732,0.331775550119093,FINAL_SELECTION
8,age <= 36.0,463,0.5021691973969631,0.24434389140271492,0.5834522111269614,0.11663066954643629,-0.3391083197242465,FINAL_SELECTION
9,age != 36.0,896,0.9718004338394793,0.9773755656108597,0.9700427960057061,0.24107142857142858,0.007332769605153611,FINAL_SELECTION
10,workclass >= 0,922,1.0,1.0,1.0,0.23969631236442515,0.0,FINAL_SELECTION
11,workclass != 0,887,0.9620390455531453,0.9411764705882353,0.9686162624821684,0.23449830890642615,-0.027439791893933085,FINAL_SELECTION
12,workclass >= 2.0,807,0.8752711496746204,0.8597285067873304,0.8801711840228246,0.23543990086741015,-0.0204426772354942,FINAL_SELECTION
13,workclass <= 2.0,801,0.868763557483731,0.8099547511312217,0.8873038516405135,0.22347066167290885,-0.07734910050929178,FINAL_SELECTION
14,workclass == 2.0,686,0.7440347071583514,0.669683257918552,0.7674750356633381,0.21574344023323616,-0.09779177774478609,FINAL_SELECTION
15,workclass != 2.0,236,0.2559652928416486,0.33031674208144796,0.23252496433666192,0.3093220338983051,0.09779177774478603,FINAL_SELECTION
16,workclass <= 5,922,1.0,1.0,1.0,0.23969631236442515,0.0,FINAL_SELECTION
17,workclass != 5,890,0.96529284164859,0.9140271493212669,0.9814550641940085,0.22696629213483147,-0.06742791487274158,FINAL_SELECTION
18,fnlwgt >= 21174,922,1.0,1.0,1.0,0.23969631236442515,0.0,FINAL_SELECTION
19,fnlwgt != 21174,921,0.9989154013015185,0.995475113122172,1.0,0.23887079261672095,-0.004524886877828038,FINAL_SELECTION
20,fnlwgt >= 114669.25,691,0.7494577006507592,0.7737556561085973,0.7417974322396577,0.24746743849493488,0.03195822386893965,FINAL_SELECTION
21,fnlwgt <= 114669.25,231,0.25054229934924077,0.22624434389140272,0.2582025677603424,0.21645021645021645,-0.03195822386893968,FINAL_SELECTION
22,fnlwgt != 114669.25,922,1.0,1.0,1.0,0.23969631236442515,0.0,FINAL_SELECTION
23,fnlwgt >= 181657.0,461,0.5,0.5203619909502263,0.49358059914407987,0.24945770065075923,0.026781391806146415,FINAL_SELECTION
24,fnlwgt <= 181657.0,461,0.5,0.4796380090497738,0.5064194008559201,0.2299349240780911,-0.026781391806146304,FINAL_SELECTION
25,fnlwgt != 181657.0,922,1.0,1.0,1.0,0.23969631236442515,0.0,FINAL_SELECTION
26,education >= 0,922,1.0,1.0,1.0,0.23969631236442515,0.0,FINAL_SELECTION
27,education <= 0,161,0.17462039045553146,0.3167420814479638,0.12981455064194009,0.43478260869565216,0.1869275308060237,FINAL_SELECTION
28,education == 0,161,0.17462039045553146,0.3167420814479638,0.12981455064194009,0.43478260869565216,0.1869275308060237,FINAL_SELECTION
29,education != 0,761,0.8253796095444685,0.6832579185520362,0.8701854493580599,0.19842312746386334,-0.18692753080602365,FINAL_SELECTION
30,education >= 1.0,761,0.8253796095444685,0.6832579185520362,0.8701854493580599,0.19842312746386334,-0.18692753080602365,FINAL_SELECTION
31,education <= 1.0,463,0.5021691973969631,0.5339366515837104,0.4921540656205421,0.2548596112311015,0.041782585963168306,FINAL_SELECTION
32,education == 1.0,302,0.3275488069414317,0.2171945701357466,0.362339514978602,0.15894039735099338,-0.1451449448428554,FINAL_SELECTION
33,education != 1.0,620,0.6724511930585684,0.7828054298642534,0.637660485021398,0.27903225806451615,0.14514494484285534,FINAL_SELECTION
34,education >= 5.0,355,0.38503253796095444,0.35294117647058826,0.39514978601997147,0.21971830985915494,-0.042208609549383214,FINAL_SELECTION
35,education <= 5.0,770,0.8351409978308026,0.7873303167420814,0.8502139800285307,0.22597402597402597,-0.06288366328644923,FINAL_SELECTION
36,education == 5.0,203,0.22017353579175705,0.14027149321266968,0.24536376604850213,0.15270935960591134,-0.10509227283583245,FINAL_SELECTION
37,education != 5.0,719,0.779826464208243,0.8597285067873304,0.7546362339514978,0.26425591098748263,0.10509227283583256,FINAL_SELECTION
38,education-num >= 1,922,1.0,1.0,1.0,0.23969631236442515,0.0,FINAL_SELECTION
39,education-num != 1,920,0.9978308026030369,1.0,0.9971469329529244,0.24021739130434783,0.0028530670470755526,FINAL_SELECTION
40,education-num >= 9.0,816,0.8850325379609545,0.9683257918552036,0.8587731811697575,0.2622549019607843,0.10955261068544608,FINAL_SELECTION
41,education-num <= 9.0,408,0.44251626898047725,0.248868778280543,0.5035663338088445,0.13480392156862744,-0.25469755552830153,FINAL_SELECTION
42,education-num == 9.0,302,0.3275488069414317,0.2171945701357466,0.362339514978602,0.15894039735099338,-0.1451449448428554,FINAL_SELECTION
43,education-num != 9.0,620,0.6724511930585684,0.7828054298642534,0.637660485021398,0.27903225806451615,0.14514494484285534,FINAL_SELECTION
44,education-num >= 10.0,514,0.5574837310195228,0.751131221719457,0.4964336661911555,0.3229571984435798,0.25469755552830153,FINAL_SELECTION
45,education-num <= 10.0,611,0.6626898047722343,0.3891402714932127,0.7489300998573466,0.1407528641571195,-0.3597898283641339,FINAL_SELECTION
46,education-num == 10.0,203,0.22017353579175705,0.14027149321266968,0.24536376604850213,0.15270935960591134,-0.10509227283583245,FINAL_SELECTION
47,education-num != 10.0,719,0.779826464208243,0.8597285067873304,0.7546362339514978,0.26425591098748263,0.10509227283583256,FINAL_SELECTION
48,marital-status >= 0.0,922,1.0,1.0,1.0,0.23969631236442515,0.0,FINAL_SELECTION
49,marital-status <= 0.0,317,0.3438177874186551,0.06787330316742081,0.43081312410841655,0.0473186119873817,-0.36293982094099575,FINAL_SELECTION
50,marital-status == 0.0,317,0.3438177874186551,0.06787330316742081,0.43081312410841655,0.0473186119873817,-0.36293982094099575,FINAL_SELECTION
51,marital-status != 0.0,605,0.6561822125813449,0.9321266968325792,0.5691868758915835,0.34049586776859503,0.36293982094099575,FINAL_SELECTION
52,marital-status >= 1.0,605,0.6561822125813449,0.9321266968325792,0.5691868758915835,0.34049586776859503,0.36293982094099575,FINAL_SELECTION
53,marital-status <= 1.0,728,0.789587852494577,0.9095022624434389,0.7517831669044223,0.2760989010989011,0.15771909553901664,FINAL_SELECTION
54,marital-status == 1.0,411,0.44577006507592193,0.8416289592760181,0.3209700427960057,0.45255474452554745,0.5206589164800124,FINAL_SELECTION
55,marital-status != 1.0,511,0.5542299349240781,0.1583710407239819,0.6790299572039943,0.0684931506849315,-0.5206589164800124,FINAL_SELECTION
56,marital-status <= 6,922,1.0,1.0,1.0,0.23969631236442515,0.0,FINAL_SELECTION
57,marital-status != 6,895,0.9707158351409978,0.9819004524886877,0.9671897289586305,0.2424581005586592,0.014710723530057201,FINAL_SELECTION
58,occupation >= 0,922,1.0,1.0,1.0,0.23969631236442515,0.0,FINAL_SELECTION
59,occupation <= 0,91,0.09869848156182212,0.06334841628959276,0.10984308131241084,0.15384615384615385,-0.046494665022818085,FINAL_SELECTION
60,occupation == 0,91,0.09869848156182212,0.06334841628959276,0.10984308131241084,0.15384615384615385,-0.046494665022818085,FINAL_SELECTION
61,occupation != 0,831,0.9013015184381779,0.9366515837104072,0.8901569186875892,0.2490974729241877,0.04649466502281807,FINAL_SELECTION
62,occupation >= 2.0,710,0.7700650759219089,0.6425339366515838,0.8102710413694721,0.2,-0.16773710471788839,FINAL_SELECTION
63,occupation <= 2.0,255,0.2765726681127983,0.36199095022624433,0.24964336661911554,0.3137254901960784,0.11234758360712879,FINAL_SELECTION
64,occupation != 2.0,879,0.9533622559652929,0.995475113122172,0.9400855920114123,0.2502844141069397,0.055389521110759676,FINAL_SELECTION
65,occupation >= 4.0,546,0.5921908893709328,0.4117647058823529,0.6490727532097005,0.16666666666666666,-0.23730804732734756,FINAL_SELECTION
66,occupation <= 4.0,482,0.5227765726681128,0.6108597285067874,0.4950071326676177,0.2800829875518672,0.11585259583916968,FINAL_SELECTION
67,occupation == 4.0,106,0.11496746203904555,0.02262443438914027,0.14407988587731813,0.04716981132075472,-0.12145545148817785,FINAL_SELECTION
68,occupation != 4.0,816,0.8850325379609545,0.9773755656108597,0.8559201141226819,0.2647058823529412,0.12145545148817782,FINAL_SELECTION
69,relationship >= 0.0,922,1.0,1.0,1.0,0.23969631236442515,0.0,FINAL_SELECTION
70,relationship <= 0.0,265,0.2874186550976139,0.11312217194570136,0.34236804564907275,0.09433962264150944,-0.2292458737033714,FINAL_SELECTION
71,relationship == 0.0,265,0.2874186550976139,0.11312217194570136,0.34236804564907275,0.09433962264150944,-0.2292458737033714,FINAL_SELECTION
72,relationship != 0.0,657,0.7125813449023861,0.8868778280542986,0.6576319543509273,0.2983257229832572,0.22924587370337135,FINAL_SELECTION
73,relationship >= 1.0,657,0.7125813449023861,0.8868778280542986,0.6576319543509273,0.2983257229832572,0.22924587370337135,FINAL_SELECTION
74,relationship <= 1.0,615,0.6670281995661606,0.8371040723981901,0.6134094151212554,0.3008130081300813,0.22369465727693472,FINAL_SELECTION
75,relationship == 1.0,350,0.3796095444685466,0.7239819004524887,0.2710413694721826,0.45714285714285713,0.45294053098030607,FINAL_SELECTION
76,relationship != 1.0,572,0.6203904555314533,0.27601809954751133,0.7289586305278174,0.10664335664335664,-0.45294053098030607,FINAL_SELECTION
77,relationship >= 3.0,251,0.272234273318872,0.05429864253393665,0.340941512125535,0.04780876494023904,-0.28664286959159835,FINAL_SELECTION
78,relationship <= 3.0,803,0.8709327548806941,0.9547511312217195,0.8445078459343794,0.2627646326276463,0.11024328528734006,FINAL_SELECTION
79,relationship == 3.0,132,0.14316702819956617,0.00904977375565611,0.18544935805991442,0.015151515151515152,-0.1763995843042583,FINAL_SELECTION
80,relationship != 3.0,790,0.8568329718004338,0.9909502262443439,0.8145506419400856,0.2772151898734177,0.17639958430425828,FINAL_SELECTION
81,race >= 0.0,922,1.0,1.0,1.0,0.23969631236442515,0.0,FINAL_SELECTION
82,race <= 0.0,788,0.8546637744034707,0.9004524886877828,0.8402282453637661,0.25253807106598986,0.06022424332401677,FINAL_SELECTION
83,race == 0.0,788,0.8546637744034707,0.9004524886877828,0.8402282453637661,0.25253807106598986,0.06022424332401677,FINAL_SELECTION
84,race != 0.0,134,0.14533622559652928,0.09954751131221719,0.15977175463623394,0.16417910447761194,-0.060224243324016755,FINAL_SELECTION
85,race <= 4,922,1.0,1.0,1.0,0.23969631236442515,0.0,FINAL_SELECTION
86,race != 4,916,0.9934924078091106,0.995475113122172,0.992867332382311,0.24017467248908297,0.0026077807398610098,FINAL_SELECTION
87,sex >= 0.0,922,1.0,1.0,1.0,0.23969631236442515,0.0,FINAL_SELECTION
88,sex <= 0.0,624,0.6767895878524945,0.8190045248868778,0.6319543509272468,0.2900641025641026,0.18705017395963097,FINAL_SELECTION
89,sex == 0.0,624,0.6767895878524945,0.8190045248868778,0.6319543509272468,0.2900641025641026,0.18705017395963097,FINAL_SELECTION
90,sex != 0.0,298,0.3232104121475054,0.18099547511312217,0.3680456490727532,0.1342281879194631,-0.18705017395963106,FINAL_SELECTION
91,sex >= 1.0,298,0.3232104121475054,0.18099547511312217,0.3680456490727532,0.1342281879194631,-0.18705017395963106,FINAL_SELECTION
92,sex <= 1.0,922,1.0,1.0,1.0,0.23969631236442515,0.0,FINAL_SELECTION
93,sex == 1.0,298,0.3232104121475054,0.18099547511312217,0.3680456490727532,0.1342281879194631,-0.18705017395963106,FINAL_SELECTION
94,sex != 1.0,624,0.6767895878524945,0.8190045248868778,0.6319543509272468,0.2900641025641026,0.18705017395963097,FINAL_SELECTION
95,capital-gain >= 0.0,922,1.0,1.0,1.0,0.23969631236442515,0.0,FINAL_SELECTION
96,capital-gain <= 0.0,848,0.9197396963123644,0.8054298642533937,0.9557774607703281,0.2099056603773585,-0.1503475965169344,FINAL_SELECTION
97,capital-gain == 0.0,848,0.9197396963123644,0.8054298642533937,0.9557774607703281,0.2099056603773585,-0.1503475965169344,FINAL_SELECTION
98,capital-gain != 0.0,74,0.08026030368763558,0.19457013574660634,0.0442225392296719,0.581081081081081,0.15034759651693444,FINAL_SELECTION
99,capital-gain <= 25236,922,1.0,1.0,1.0,0.23969631236442515,0.0,FINAL_SELECTION
100,capital-gain != 25236,921,0.9989154013015185,0.995475113122172,1.0,0.23887079261672095,-0.004524886877828038,FINAL_SELECTION
101,capital-loss >= 0.0,922,1.0,1.0,1.0,0.23969631236442515,0.0,FINAL_SELECTION
102,capital-loss <= 0.0,875,0.9490238611713666,0.9049773755656109,0.9629101283880172,0.22857142857142856,-0.057932752822406286,FINAL_SELECTION
103,capital-loss == 0.0,875,0.9490238611713666,0.9049773755656109,0.9629101283880172,0.22857142857142856,-0.057932752822406286,FINAL_SELECTION
104,capital-loss <= 2415,922,1.0,1.0,1.0,0.23969631236442515,0.0,FINAL_SELECTION
105,capital-loss != 2415,919,0.9967462039045553,0.9864253393665159,1.0,0.23721436343852012,-0.013574660633484115,FINAL_SELECTION
