algorithm,alpha_value,depth,subgroups_start,candidates_generated,subgroups_after_pruning,width,best_quality,avg_coverage,cumulative_candidates,final_auc,final_width
Pure ROC,pure_roc,0,1,0,1,1,0.0,1000.0,0,0.8169366244612069,18
Pure ROC,pure_roc,1,1,120,12,12,0.5176005747126438,557.9166666666666,120,0.8169366244612069,18
Pure ROC,pure_roc,2,12,1229,19,19,0.5493444683908046,425.7368421052632,1349,0.8169366244612069,18
Pure ROC,pure_roc,3,19,1656,16,16,0.569055316091954,438.25,3005,0.8169366244612069,18
Pure ROC,pure_roc,4,16,1282,15,15,0.5742636494252873,439.0,4287,0.8169366244612069,18
Hull Removal,hull_removal,0,1,0,1,1,0.0,1000.0,0,0.5023347701149427,438
Hull Removal,hull_removal,1,120,120,10,10,0.3253412356321839,794.3,120,0.5023347701149427,438
Hull Removal,hull_removal,2,1092,1092,1,1,0.015625,863.0,1212,0.5023347701149427,438
Hull Removal,hull_removal,3,100,100,22,22,0.015625,863.0,1312,0.5023347701149427,438
Hull Removal,hull_removal,4,2029,2029,438,438,0.015625,863.0,3341,0.5023347701149427,438
Closest to Hull (n=10),closest_to_hull,0,1,0,1,1,0.0,1000.0,0,0.5982764233117818,22
Closest to Hull (n=10),closest_to_hull,1,120,120,10,10,0.21798670977011492,947.6,120,0.5982764233117818,22
Closest to Hull (n=10),closest_to_hull,2,1101,1101,10,10,0.5220007183908046,412.1,1221,0.5982764233117818,22
Closest to Hull (n=10),closest_to_hull,3,856,856,14,14,0.5506465517241379,191.71428571428572,2077,0.5982764233117818,22
Closest to Hull (n=10),closest_to_hull,4,875,875,22,22,0.569055316091954,214.0909090909091,2952,0.5982764233117818,22
Furthest from Diagonal (n=10),furthest_diagonal,0,1,0,1,1,0.0,1000.0,0,0.6198365660919545,12
Furthest from Diagonal (n=10),furthest_diagonal,1,120,120,12,12,0.35811781609195403,626.3333333333334,120,0.6198365660919545,12
Furthest from Diagonal (n=10),furthest_diagonal,2,1277,1277,12,12,0.5176005747126438,389.4166666666667,1397,0.6198365660919545,12
Furthest from Diagonal (n=10),furthest_diagonal,3,1056,1056,12,12,0.5493444683908046,423.8333333333333,2453,0.6198365660919545,12
Furthest from Diagonal (n=10),furthest_diagonal,4,1002,1002,12,12,0.569055316091954,390.0,3455,0.6198365660919545,12
Below Hull Threshold (1.0%),below_hull,0,1,0,1,1,0.0,1000.0,0,0.5982427487428166,24706
Below Hull Threshold (1.0%),below_hull,1,120,120,10,10,0.3253412356321839,794.3,120,0.5982427487428166,24706
Below Hull Threshold (1.0%),below_hull,2,1092,1092,45,45,0.4542474856321839,783.8,1212,0.5982427487428166,24706
Below Hull Threshold (1.0%),below_hull,3,4561,4561,1034,1034,0.5524425287356323,791.9448742746615,5773,0.5982427487428166,24706
Below Hull Threshold (1.0%),below_hull,4,96946,96946,24706,24706,0.569055316091954,771.8949647858819,102719,0.5982427487428166,24706
Above Diagonal Threshold (1.0%),above_diagonal,0,1,0,1,1,0.0,1000.0,0,0.5130629265445403,4
Above Diagonal Threshold (1.0%),above_diagonal,1,120,120,10,10,0.3253412356321839,794.3,120,0.5130629265445403,4
Above Diagonal Threshold (1.0%),above_diagonal,2,1092,1092,10,10,0.055765086206896575,862.7,1212,0.5130629265445403,4
Above Diagonal Threshold (1.0%),above_diagonal,3,1026,1026,4,4,0.5176005747126438,442.75,2238,0.5130629265445403,4
Above Diagonal Threshold (1.0%),above_diagonal,4,340,340,4,4,0.5425197557471264,397.75,2578,0.5130629265445403,4
