algorithm,alpha_value,depth,subgroups_start,candidates_generated,subgroups_after_pruning,width,best_quality,avg_coverage,cumulative_candidates,depth_auc,final_auc,final_width,dataset
Pure ROC,pure_roc,0,1,0,1,1,0.0,922.0,0,0.5,0.8185107248210379,14,adult
Pure ROC,pure_roc,1,1,120,12,12,0.5206589164800124,548.3333333333334,120,0.7651157686821024,0.8185107248210379,14,adult
Pure ROC,pure_roc,2,12,1231,16,16,0.5544051484304904,422.9375,1351,0.8133080731469587,0.8185107248210379,14,adult
Pure ROC,pure_roc,3,16,1439,15,15,0.5745767197474843,380.73333333333335,2790,0.839711853138051,0.8185107248210379,14,adult
Pure ROC,pure_roc,4,15,1180,14,14,0.5802828538416354,399.4285714285714,3970,0.8490327328122076,0.8185107248210379,14,adult
Hull Removal,hull_removal,0,1,0,1,1,0.0,922.0,0,0.5,0.4895043280123421,10,adult
Hull Removal,hull_removal,1,120,120,10,10,0.331775550119093,732.5,120,0.4874903983320531,0.4895043280123421,10,adult
Hull Removal,hull_removal,2,1094,1094,10,10,0.097791777744786,799.4,1214,0.4988639371034269,0.4895043280123421,10,adult
Hull Removal,hull_removal,3,1026,1026,10,10,0.1869275308060237,661.4,2240,0.5262069054550383,0.4895043280123421,10,adult
Hull Removal,hull_removal,4,916,916,10,10,0.1869275308060237,527.6,3156,0.5216110146461745,0.4895043280123421,10,adult
Closest to Hull (n=10),closest_to_hull,0,1,0,1,1,0.0,922.0,0,0.5,0.5652397028162741,28,adult
Closest to Hull (n=10),closest_to_hull,1,120,120,10,10,0.1986431794269337,873.2,120,0.594047934108352,0.5652397028162741,28,adult
Closest to Hull (n=10),closest_to_hull,2,1119,1119,10,10,0.5275462977904868,397.1,1239,0.7969126199805063,0.5652397028162741,28,adult
Closest to Hull (n=10),closest_to_hull,3,839,839,14,14,0.5558316819540282,106.14285714285714,2078,0.7987199927705089,0.5652397028162741,28,adult
Closest to Hull (n=10),closest_to_hull,4,732,732,28,28,0.557258215477566,123.42857142857144,2810,0.8005241381091008,0.5652397028162741,28,adult
Furthest from Diagonal (n=10),furthest_diagonal,0,1,0,1,1,0.0,922.0,0,0.5,0.6394420382001148,12,adult
Furthest from Diagonal (n=10),furthest_diagonal,1,120,120,10,10,0.452940530980306,545.7,120,0.7125567224585434,0.6394420382001148,12,adult
Furthest from Diagonal (n=10),furthest_diagonal,2,1045,1045,46,46,0.5206589164800124,350.8695652173913,1165,0.7755791661556536,0.6394420382001148,12,adult
Furthest from Diagonal (n=10),furthest_diagonal,3,4014,4014,11,11,0.5544051484304904,382.9090909090909,5179,0.7831217201025038,0.6394420382001148,12,adult
Furthest from Diagonal (n=10),furthest_diagonal,4,886,886,12,12,0.5745767197474843,358.3333333333333,6065,0.7909708819333725,0.6394420382001148,12,adult
Below Hull Threshold (1.0%),below_hull,0,1,0,1,1,0.0,922.0,0,0.5,0.589632780578488,41275,adult
Below Hull Threshold (1.0%),below_hull,1,120,120,4,4,0.452940530980306,733.75,120,0.7484976213683103,0.589632780578488,41275,adult
Below Hull Threshold (1.0%),below_hull,2,425,425,78,78,0.5220854500035502,850.0,545,0.7810012845256614,0.589632780578488,41275,adult
Below Hull Threshold (1.0%),below_hull,3,7958,7958,1862,1862,0.5479631554146952,844.9044038668098,8503,0.7997527772219386,0.589632780578488,41275,adult
Below Hull Threshold (1.0%),below_hull,4,174906,174906,41275,41275,0.5598659962174268,833.1013930950938,183409,0.805826840776912,0.589632780578488,41275,adult
Above Diagonal Threshold (1.0%),above_diagonal,0,1,0,1,1,0.0,922.0,0,0.5,0.5074360480502967,4,adult
Above Diagonal Threshold (1.0%),above_diagonal,1,120,120,10,10,0.331775550119093,732.5,120,0.4874903983320531,0.5074360480502967,4,adult
Above Diagonal Threshold (1.0%),above_diagonal,2,1094,1094,10,10,0.097791777744786,799.4,1214,0.4988639371034269,0.5074360480502967,4,adult
Above Diagonal Threshold (1.0%),above_diagonal,3,1026,1026,4,4,0.5206589164800124,410.75,2240,0.758793191368504,0.5074360480502967,4,adult
Above Diagonal Threshold (1.0%),above_diagonal,4,332,332,4,4,0.5465366218911574,371.75,2572,0.771622310726112,0.5074360480502967,4,adult
