algorithm,alpha_value,depth,subgroups_start,candidates_generated,subgroups_after_pruning,width,best_quality,avg_coverage,cumulative_candidates,final_auc,final_width
Pure ROC,pure_roc,0,1,0,1,1,0.0,351.0,0,0.7418165784832451,7
Pure ROC,pure_roc,1,1,265,21,21,0.5374603174603174,136.0952380952381,265,0.7418165784832451,7
Pure ROC,pure_roc,2,21,4490,10,10,0.5419047619047619,116.5,4755,0.7418165784832451,7
Pure ROC,pure_roc,3,10,1851,6,6,0.5419047619047619,124.5,6606,0.7418165784832451,7
Pure ROC,pure_roc,4,6,1035,4,4,0.5419047619047619,142.25,7641,0.7418165784832451,7
Hull Removal,hull_removal,0,1,0,1,1,0.0,351.0,0,0.42264550264550266,369
Hull Removal,hull_removal,1,265,265,10,10,0.0,338.1,265,0.42264550264550266,369
Hull Removal,hull_removal,2,2596,2596,10,10,0.47555555555555556,279.4,2861,0.42264550264550266,369
Hull Removal,hull_removal,3,2430,2430,5,5,0.42,81.0,5291,0.42264550264550266,369
Hull Removal,hull_removal,4,907,907,369,369,0.42,81.0,6198,0.42264550264550266,369
Closest to Hull (n=10),closest_to_hull,0,1,0,1,1,0.0,351.0,0,0.5479894179894177,189254
Closest to Hull (n=10),closest_to_hull,1,265,265,23,23,0.004444444444444473,350.0,265,0.5479894179894177,189254
Closest to Hull (n=10),closest_to_hull,2,5911,5911,529,529,0.3676190476190476,336.04347826086956,6176,0.5479894179894177,189254
Closest to Hull (n=10),closest_to_hull,3,127841,127841,12956,12956,0.3676190476190476,294.5876813831429,134017,0.5479894179894177,189254
Closest to Hull (n=10),closest_to_hull,4,2741801,2741801,189254,189254,0.3676190476190476,51.0,2875818,0.5479894179894177,189254
Furthest from Diagonal (n=10),furthest_diagonal,0,1,0,1,1,0.0,351.0,0,0.5303174603174604,22644
Furthest from Diagonal (n=10),furthest_diagonal,1,265,265,10,10,0.47555555555555556,117.0,265,0.5303174603174604,22644
Furthest from Diagonal (n=10),furthest_diagonal,2,2135,2135,159,159,0.48000000000000004,87.9874213836478,2400,0.5303174603174604,22644
Furthest from Diagonal (n=10),furthest_diagonal,3,30850,30850,306,306,0.48000000000000004,87.0,33250,0.5303174603174604,22644
Furthest from Diagonal (n=10),furthest_diagonal,4,57536,57536,22644,22644,0.48000000000000004,87.0,90786,0.5303174603174604,22644
Below Hull Threshold (1.0%),below_hull,0,1,0,1,1,0.0,351.0,0,0.4200352733686067,10
Below Hull Threshold (1.0%),below_hull,1,265,265,10,10,0.0,338.1,265,0.4200352733686067,10
Below Hull Threshold (1.0%),below_hull,2,2596,2596,10,10,0.47555555555555556,279.4,2861,0.4200352733686067,10
Below Hull Threshold (1.0%),below_hull,3,2430,2430,10,10,0.47555555555555556,276.9,5291,0.4200352733686067,10
Below Hull Threshold (1.0%),below_hull,4,2384,2384,10,10,0.2453968253968254,276.8,7675,0.4200352733686067,10
Above Diagonal Threshold (1.0%),above_diagonal,0,1,0,1,1,0.0,351.0,0,0.4985714285714286,33812
Above Diagonal Threshold (1.0%),above_diagonal,1,265,265,10,10,0.0,338.1,265,0.4985714285714286,33812
Above Diagonal Threshold (1.0%),above_diagonal,2,2596,2596,6,6,0.5374603174603174,88.0,2861,0.4985714285714286,33812
Above Diagonal Threshold (1.0%),above_diagonal,3,1187,1187,458,458,0.5419047619047619,87.98689956331877,4048,0.4985714285714286,33812
Above Diagonal Threshold (1.0%),above_diagonal,4,87821,87821,33812,33812,0.5419047619047619,87.97397373713474,91869,0.4985714285714286,33812
