algorithm,alpha_value,depth,subgroups_start,candidates_generated,subgroups_after_pruning,width,best_quality,avg_coverage,cumulative_candidates,depth_auc,final_auc,final_width
Pure ROC,pure_roc,0,1,0,1,1,0.0,5644.0,0,0.5,0.6347721740906537,8
Pure ROC,pure_roc,1,1,209,20,20,0.8404452690166976,2360.0,209,0.8548237476808905,0.6347721740906537,8
Pure ROC,pure_roc,2,20,3691,18,18,0.8599172780037787,2349.3333333333335,3900,0.951064662729145,0.6347721740906537,8
Pure ROC,pure_roc,3,18,3196,12,12,0.9149631495634116,2475.3333333333335,7096,0.9671154533539854,0.6347721740906537,8
Pure ROC,pure_roc,4,12,2065,8,8,0.9149631495634116,2678.75,9161,0.9715196337083624,0.6347721740906537,8
Hull Removal,hull_removal,0,1,0,1,1,0.0,5644.0,0,0.5,0.4536073056203297,10
Hull Removal,hull_removal,1,209,209,10,10,0.03579939064866983,3913.2,209,0.4994893703936954,0.4536073056203297,10
Hull Removal,hull_removal,2,1986,1986,10,10,0.0590245272420894,3386.0,2195,0.5000000000000001,0.4536073056203297,10
Hull Removal,hull_removal,3,1838,1838,10,10,0.2286429167163112,3132.0,4033,0.4926171469421797,0.4536073056203297,10
Hull Removal,hull_removal,4,1717,1717,10,10,0.444520093275008,3412.0,5750,0.515795475821688,0.4536073056203297,10
Closest to Hull (n=10),closest_to_hull,0,1,0,1,1,0.0,5644.0,0,0.5,0.5736982136474271,4657
Closest to Hull (n=10),closest_to_hull,1,209,209,10,10,0.7646848564279758,4530.0,209,0.8816126534016442,0.5736982136474271,4657
Closest to Hull (n=10),closest_to_hull,2,1967,1967,11,11,0.8404452690166976,3364.0,2176,0.9358436452145497,0.5736982136474271,4657
Closest to Hull (n=10),closest_to_hull,3,1984,1984,101,101,0.8404452690166976,1812.0,4160,0.9202226345083488,0.5736982136474271,4657
Closest to Hull (n=10),closest_to_hull,4,16596,16596,4657,4657,0.8404452690166976,1812.0,20756,0.9202226345083488,0.5736982136474271,4657
Furthest from Diagonal (n=10),furthest_diagonal,0,1,0,1,1,0.0,5644.0,0,0.5,0.5493906486698097,96
Furthest from Diagonal (n=10),furthest_diagonal,1,209,209,10,10,0.7646848564279758,1967.2,209,0.8893040118466068,0.5493906486698097,96
Furthest from Diagonal (n=10),furthest_diagonal,2,1794,1794,54,54,0.772880461609164,1794.2222222222222,2003,0.8876955285867474,0.5493906486698097,96
Furthest from Diagonal (n=10),furthest_diagonal,3,9524,9524,14,14,0.7760506204149716,1722.2857142857142,11527,0.8886976391891203,0.5493906486698097,96
Furthest from Diagonal (n=10),furthest_diagonal,4,2246,2246,96,96,0.7760506204149716,1712.0,13773,0.8880253102074859,0.5493906486698097,96
Below Hull Threshold (1.0%),below_hull,0,1,0,1,1,0.0,5644.0,0,0.5,0.5618456228404622,12880
Below Hull Threshold (1.0%),below_hull,1,209,209,10,10,0.03579939064866983,3913.2,209,0.4994893703936954,0.5618456228404622,12880
Below Hull Threshold (1.0%),below_hull,2,1986,1986,9,9,0.8348794063079777,4586.888888888889,2195,0.9597586636823203,0.5618456228404622,12880
Below Hull Threshold (1.0%),below_hull,3,1673,1673,309,309,0.8348794063079777,4677.132686084143,3868,0.9677510808326664,0.5618456228404622,12880
Below Hull Threshold (1.0%),below_hull,4,54696,54696,12880,12880,0.8348794063079777,4565.568167701864,58564,0.9688164882299871,0.5618456228404622,12880
Above Diagonal Threshold (1.0%),above_diagonal,0,1,0,1,1,0.0,5644.0,0,0.5,0.48008597725996144,10064
Above Diagonal Threshold (1.0%),above_diagonal,1,209,209,10,10,0.03579939064866983,3913.2,209,0.4994893703936954,0.48008597725996144,10064
Above Diagonal Threshold (1.0%),above_diagonal,2,1986,1986,4,4,0.8404452690166976,1809.0,2195,0.9202226345083488,0.48008597725996144,10064
Above Diagonal Threshold (1.0%),above_diagonal,3,692,692,207,207,0.8404452690166976,1808.0869565217392,2887,0.9202226345083488,0.48008597725996144,10064
Above Diagonal Threshold (1.0%),above_diagonal,4,34142,34142,10064,10064,0.8404452690166976,1807.2615262321144,37029,0.9202226345083488,0.48008597725996144,10064
