rank,conditions,coverage,coverage_ratio,tpr,fpr,precision,roc_quality,keep_reason
1,Uniformity_of_cell_size != 1.0 AND Bland_chromatin >= 3.0 AND Uniformity_of_cell_shape != 1.0 AND Single_epithelial_cell_size != 1,257,0.3676680972818312,0.950207468879668,0.0611353711790393,0.8910505836575876,0.8890720977006287,ROC_HULL
2,Uniformity_of_cell_shape != 1.0 AND Single_epithelial_cell_size != 1 AND Uniformity_of_cell_size != 1.0 AND Sample_code_number != 61634,289,0.413447782546495,0.983402489626556,0.11353711790393013,0.8200692041522492,0.8698653717226258,HIGH_QUALITY
3,Uniformity_of_cell_size != 1.0 AND Bland_chromatin >= 3.0 AND Uniformity_of_cell_shape != 1.0 AND Bare_nuclei != 0.0,233,0.3333333333333333,0.8921161825726142,0.039301310043668124,0.9227467811158798,0.852814872528946,HIGH_QUALITY
4,Uniformity_of_cell_shape != 1.0 AND Single_epithelial_cell_size != 1 AND Bland_chromatin != 1 AND Sample_code_number != 61634,312,0.44635193133047213,0.983402489626556,0.16375545851528384,0.7596153846153846,0.8196470311112721,HIGH_QUALITY
5,Bare_nuclei != 0.0 AND Bland_chromatin != 1,277,0.39628040057224606,0.9294605809128631,0.11572052401746726,0.8086642599277978,0.8137400568953959,HIGH_QUALITY
6,Uniformity_of_cell_size != 1.0 AND Single_epithelial_cell_size != 2.0 AND Bare_nuclei != 0.0,214,0.3061516452074392,0.8298755186721992,0.03056768558951965,0.9345794392523364,0.7993078330826796,HIGH_QUALITY
7,Uniformity_of_cell_shape != 1.0 AND Single_epithelial_cell_size != 1 AND Sample_code_number != 61634,341,0.48783977110157367,0.991701244813278,0.22270742358078602,0.7008797653958945,0.768993821232492,ROC_HULL
8,Uniformity_of_cell_shape != 1.0 AND Uniformity_of_cell_size >= 5.0,178,0.25464949928469244,0.7178423236514523,0.010917030567685589,0.9719101123595506,0.7069252930837667,ROC_HULL
9,Uniformity_of_cell_size >= 5.0 AND Bare_nuclei <= 1.0,106,0.15164520743919885,0.43983402489626555,0.0,1.0,0.43983402489626555,ROC_HULL
10,Sample_code_number != 61634,698,0.9985693848354793,1.0,0.9978165938864629,0.3452722063037249,0.0021834061135370675,ROC_HULL
