algorithm,alpha_value,depth,subgroups_start,candidates_generated,subgroups_after_pruning,width,best_quality,avg_coverage,cumulative_candidates,depth_auc,final_auc,final_width
Pure ROC,pure_roc,0,1,0,1,1,0.0,683.0,0,0.5,0.9792962418485431,8
Pure ROC,pure_roc,1,1,101,10,10,0.8143446794074409,287.4,101,0.9628896679105884,0.9792962418485431,8
Pure ROC,pure_roc,2,10,738,9,9,0.8732142184025029,288.6666666666667,839,0.9761534547099401,0.9792962418485431,8
Pure ROC,pure_roc,3,9,596,8,8,0.8889799841682686,281.875,1435,0.9795082739643409,0.9792962418485431,8
Pure ROC,pure_roc,4,8,478,8,8,0.891232236420521,284.5,1913,0.9832777338007463,0.9792962418485431,8
Hull Removal,hull_removal,0,1,0,1,1,0.0,683.0,0,0.5,0.3294884843001999,10
Hull Removal,hull_removal,1,101,101,10,10,0.10507369293980179,491.9,101,0.4570894115873195,0.3294884843001999,10
Hull Removal,hull_removal,2,848,848,10,10,0.5376192091673263,368.3,949,0.41235534697877796,0.3294884843001999,10
Hull Removal,hull_removal,3,660,660,10,10,0.8143446794074409,392.2,1609,0.5115486825737872,0.3294884843001999,10
Hull Removal,hull_removal,4,564,564,10,10,0.7664065739379546,387.7,2173,0.5144841494213879,0.3294884843001999,10
Closest to Hull (n=10),closest_to_hull,0,1,0,1,1,0.0,683.0,0,0.5,0.5062384560292511,20964
Closest to Hull (n=10),closest_to_hull,1,101,101,13,13,0.808860115345471,121.61538461538461,101,0.9384965509442497,0.5062384560292511,20964
Closest to Hull (n=10),closest_to_hull,2,687,687,50,50,0.2803347280334728,67.0,788,0.6401673640167365,0.5062384560292511,20964
Closest to Hull (n=10),closest_to_hull,3,2038,2038,1100,1100,0.2803347280334728,67.0,2826,0.6401673640167365,0.5062384560292511,20964
Closest to Hull (n=10),closest_to_hull,4,39104,39104,20964,20964,0.2803347280334728,67.0,41930,0.6401673640167365,0.5062384560292511,20964
Furthest from Diagonal (n=10),furthest_diagonal,0,1,0,1,1,0.0,683.0,0,0.5,0.5183007275057485,88
Furthest from Diagonal (n=10),furthest_diagonal,1,101,101,11,11,0.808860115345471,258.54545454545456,101,0.92171774284745,0.5183007275057485,88
Furthest from Diagonal (n=10),furthest_diagonal,2,816,816,13,13,0.872563986580723,250.92307692307693,917,0.9352972219081005,0.5183007275057485,88
Furthest from Diagonal (n=10),furthest_diagonal,3,822,822,36,36,0.8732047947529119,246.33333333333334,1739,0.9402305024689962,0.5183007275057485,88
Furthest from Diagonal (n=10),furthest_diagonal,4,1912,1912,88,88,0.8732047947529119,241.0,3651,0.936602397376456,0.5183007275057485,88
Below Hull Threshold (1.0%),below_hull,0,1,0,1,1,0.0,683.0,0,0.5,0.502921331373214,22978
Below Hull Threshold (1.0%),below_hull,1,101,101,4,4,0.32496513249651326,586.0,101,0.6621904331109352,0.502921331373214,22978
Below Hull Threshold (1.0%),below_hull,2,358,358,84,84,0.8188491839119454,553.3333333333334,459,0.9612499528817521,0.502921331373214,22978
Below Hull Threshold (1.0%),below_hull,3,6598,6598,1480,1480,0.8622827848769272,543.5540540540541,7057,0.9724829431942403,0.502921331373214,22978
Below Hull Threshold (1.0%),below_hull,4,102160,102160,22978,22978,0.8848053073994497,524.7817042388372,109217,0.9739954389535981,0.502921331373214,22978
Above Diagonal Threshold (1.0%),above_diagonal,0,1,0,1,1,0.0,683.0,0,0.5,0.3864120396547176,4
Above Diagonal Threshold (1.0%),above_diagonal,1,101,101,10,10,0.10507369293980179,491.9,101,0.4570894115873195,0.3864120396547176,4
Above Diagonal Threshold (1.0%),above_diagonal,2,848,848,12,12,0.8143446794074409,290.5,949,0.9242715518866147,0.3864120396547176,4
Above Diagonal Threshold (1.0%),above_diagonal,3,847,847,28,28,0.8732142184025029,247.21428571428572,1796,0.9472793923630745,0.3864120396547176,4
Above Diagonal Threshold (1.0%),above_diagonal,4,1510,1510,4,4,0.8889799841682686,254.0,3306,0.9444899920841343,0.3864120396547176,4
