rank,conditions,coverage,coverage_ratio,tpr,fpr,precision,roc_quality,keep_reason
1,marital-status == Married-civ-spouse AND age >= 28.0 AND education-num >= 9.0 AND occupation != Machine-op-inspct,351,0.351,0.7931034482758621,0.21744791666666666,0.5242165242165242,0.5756555316091955,ROC_HULL
2,marital-status == Married-civ-spouse AND age >= 28.0 AND education != 9th,405,0.405,0.8318965517241379,0.2760416666666667,0.4765432098765432,0.5558548850574712,HIGH_QUALITY
3,marital-status == Married-civ-spouse AND age >= 28.0 AND education-num >= 9.0 AND workclass != Self-emp-not-inc,322,0.322,0.7413793103448276,0.1953125,0.5341614906832298,0.5460668103448276,HIGH_QUALITY
4,marital-status != Never-married AND relationship != Not-in-family AND education-num >= 9.0 AND age >= 28.0,448,0.448,0.8448275862068966,0.328125,0.4375,0.5167025862068966,HIGH_QUALITY
5,marital-status == Married-civ-spouse AND age >= 28.0 AND race != Asian-Pac-Islander,392,0.392,0.7801724137931034,0.2747395833333333,0.461734693877551,0.5054328304597702,HIGH_QUALITY
6,marital-status == Married-civ-spouse AND age >= 28.0 AND education-num >= 10.0 AND occupation != Transport-moving,225,0.225,0.6120689655172413,0.10807291666666667,0.6311111111111111,0.5039960488505747,ROC_HULL
7,relationship == Husband AND education-num >= 9.0 AND occupation != Machine-op-inspct AND age >= 28.0,297,0.297,0.6810344827586207,0.18098958333333334,0.531986531986532,0.5000448994252873,HIGH_QUALITY
8,marital-status != Never-married AND age >= 28.0 AND relationship != Unmarried AND occupation != Other-service,497,0.497,0.8706896551724138,0.3841145833333333,0.40643863179074446,0.4865750718390805,HIGH_QUALITY
9,age >= 28.0 AND sex == Male AND relationship != Not-in-family AND education-num >= 9.0,361,0.361,0.728448275862069,0.25,0.46814404432132967,0.47844827586206895,HIGH_QUALITY
10,marital-status == Married-civ-spouse AND education-num != 9.0 AND workclass != ? AND occupation != Transport-moving,271,0.271,0.6293103448275862,0.16276041666666666,0.5387453874538746,0.46654992816091956,HIGH_QUALITY
11,marital-status == Married-civ-spouse AND age >= 28.0 AND education-num >= 10.0 AND occupation != Craft-repair,204,0.204,0.5603448275862069,0.09635416666666667,0.6372549019607843,0.46399066091954017,HIGH_QUALITY
12,marital-status != Never-married AND age >= 28.0 AND sex == Male,434,0.434,0.7801724137931034,0.3294270833333333,0.41705069124423966,0.4507453304597701,HIGH_QUALITY
13,marital-status != Never-married AND age >= 28.0 AND occupation != Other-service,559,0.559,0.9008620689655172,0.4557291666666667,0.3738819320214669,0.44513290229885055,HIGH_QUALITY
14,marital-status == Married-civ-spouse AND age >= 28.0 AND education-num >= 10.0 AND education != Some-college,156,0.156,0.47413793103448276,0.059895833333333336,0.7051282051282052,0.41424209770114945,ROC_HULL
15,age >= 28.0 AND marital-status != Separated AND education != 9th AND relationship != Own-child,685,0.685,0.978448275862069,0.5963541666666666,0.33138686131386863,0.3820941091954023,ROC_HULL
16,age >= 28.0 AND education != 9th,743,0.743,0.9913793103448276,0.66796875,0.30955585464333785,0.3234105603448276,ROC_HULL
17,marital-status == Married-civ-spouse AND occupation == Exec-managerial AND workclass != Self-emp-not-inc AND education-num != 10.0,55,0.055,0.21120689655172414,0.0078125,0.8909090909090909,0.20339439655172414,ROC_HULL
18,age != 17 AND marital-status != Married-spouse-absent AND education != 9th AND race != Amer-Indian-Eskimo,943,0.943,1.0,0.92578125,0.24602332979851538,0.07421875,ROC_HULL
