rank,conditions,coverage,coverage_ratio,tpr,fpr,precision,roc_quality,keep_reason
1,marital-status == Married-civ-spouse AND age >= 28.0 AND education-num >= 9.0,369,0.369,0.8060344827586207,0.23697916666666666,0.5067750677506775,0.569055316091954,ROC_HULL
2,marital-status == Married-civ-spouse AND education != 9th,437,0.437,0.8405172413793104,0.3151041666666667,0.4462242562929062,0.5254130747126438,HIGH_QUALITY
3,marital-status == Married-civ-spouse AND hours-per-week >= 40.0 AND education-num >= 9.0,348,0.348,0.7413793103448276,0.22916666666666666,0.4942528735632184,0.512212643678161,HIGH_QUALITY
4,marital-status == Married-civ-spouse AND age >= 28.0 AND education-num >= 10.0,231,0.231,0.6120689655172413,0.11588541666666667,0.6147186147186147,0.49618354885057464,HIGH_QUALITY
5,marital-status == Married-civ-spouse AND occupation != Adm-clerical,407,0.407,0.7801724137931034,0.2942708333333333,0.44471744471744473,0.4859015804597701,HIGH_QUALITY
6,marital-status != Never-married AND relationship != Not-in-family AND education-num >= 9.0,481,0.481,0.853448275862069,0.3684895833333333,0.41164241164241167,0.48495869252873564,HIGH_QUALITY
7,relationship == Husband AND education-num >= 9.0 AND occupation != Machine-op-inspct,315,0.315,0.6853448275862069,0.203125,0.5047619047619047,0.48221982758620685,HIGH_QUALITY
8,marital-status != Never-married AND age >= 28.0 AND relationship != Unmarried,534,0.534,0.8922413793103449,0.42578125,0.38764044943820225,0.46646012931034486,HIGH_QUALITY
9,marital-status == Married-civ-spouse AND education-num != 9.0 AND workclass != ?,283,0.283,0.6293103448275862,0.17838541666666666,0.5159010600706714,0.45092492816091956,HIGH_QUALITY
10,relationship == Husband AND education-num >= 10.0 AND age >= 28.0,196,0.196,0.5344827586206896,0.09375,0.6326530612244898,0.4407327586206896,HIGH_QUALITY
11,age >= 28.0 AND relationship != Unmarried AND marital-status != Divorced,579,0.579,0.9137931034482759,0.4778645833333333,0.36614853195164077,0.4359285201149426,HIGH_QUALITY
12,marital-status != Never-married AND education-num >= 10.0,359,0.359,0.6896551724137931,0.2591145833333333,0.4456824512534819,0.43054058908045983,HIGH_QUALITY
13,marital-status != Never-married AND relationship != Not-in-family AND race == White,458,0.458,0.7844827586206896,0.359375,0.39737991266375544,0.4251077586206896,HIGH_QUALITY
14,marital-status == Married-civ-spouse AND education-num >= 10.0 AND education != Some-college,162,0.162,0.47844827586206895,0.06640625,0.6851851851851852,0.41204202586206895,ROC_HULL
15,age >= 28.0 AND relationship != Unmarried AND education != 9th,653,0.653,0.9568965517241379,0.5611979166666666,0.33996937212863704,0.39569863505747127,ROC_HULL
16,relationship == Husband AND education-num >= 10.0 AND education != Some-college,138,0.138,0.41810344827586204,0.053385416666666664,0.7028985507246377,0.36471803160919536,ROC_HULL
17,age >= 28.0 AND marital-status != Separated AND education != 9th,716,0.716,0.9870689655172413,0.6341145833333334,0.3198324022346369,0.35295438218390796,ROC_HULL
18,marital-status == Married-civ-spouse AND occupation == Exec-managerial AND workclass != Self-emp-not-inc,65,0.065,0.23275862068965517,0.014322916666666666,0.8307692307692308,0.2184357040229885,ROC_HULL
19,relationship == Husband AND education-num >= 10.0 AND occupation == Exec-managerial,50,0.05,0.1810344827586207,0.010416666666666666,0.84,0.17061781609195403,ROC_HULL
20,age != 17 AND marital-status != Married-spouse-absent AND education != 9th,953,0.953,1.0,0.9388020833333334,0.24344176285414482,0.06119791666666663,ROC_HULL
