algorithm,alpha_value,depth,subgroups_start,candidates_generated,subgroups_after_pruning,best_quality,avg_coverage,cumulative_candidates,final_auc,final_width,dataset
Pure ROC,pure_roc,0,1,0,1,0.0,1000.0,0,0.77685546875,20,adult
Pure ROC,pure_roc,1,1,124,14,0.5176005747126438,540.7857142857143,124,0.77685546875,20,adult
Pure ROC,pure_roc,2,14,1401,19,0.5493444683908046,446.6315789473685,1525,0.77685546875,20,adult
Pure ROC,pure_roc,3,19,1660,16,0.569055316091954,368.875,3185,0.77685546875,20,adult
Pure ROC,pure_roc,0,1,0,1,0.0,8124.0,0,0.1585709597362094,20,agaricus-lepiota
Pure ROC,pure_roc,1,1,209,22,0.7792424177693542,3790.363636363637,209,0.1585709597362094,20,agaricus-lepiota
Pure ROC,pure_roc,2,22,3821,20,0.8917223674347612,3677.8,4030,0.1585709597362094,20,agaricus-lepiota
Pure ROC,pure_roc,3,20,3306,13,0.9373497438606168,3667.3846153846152,7336,0.1585709597362094,20,agaricus-lepiota
Pure ROC,pure_roc,0,1,0,1,0.0,351.0,0,0.742310405643739,8,ionosphere
Pure ROC,pure_roc,1,1,265,21,0.5374603174603174,136.0952380952381,265,0.742310405643739,8,ionosphere
Pure ROC,pure_roc,2,21,4490,10,0.5419047619047619,116.5,4755,0.742310405643739,8,ionosphere
Pure ROC,pure_roc,3,10,1851,6,0.5419047619047619,124.5,6606,0.742310405643739,8,ionosphere
