rank,conditions,coverage,coverage_ratio,tpr,fpr,precision,roc_quality,keep_reason
1,Attribute5 <= 0.41266 AND Attribute26 != -0.01505,87,0.24786324786324787,0.5952380952380952,0.05333333333333334,0.8620689655172413,0.5419047619047619,ROC_HULL
2,Attribute5 <= 0.41266 AND Attribute6 != -1.0,81,0.23076923076923078,0.5396825396825397,0.057777777777777775,0.8395061728395061,0.4819047619047619,HIGH_QUALITY
3,Attribute5 <= 0.41266 AND Attribute34 >= 0.0,66,0.18803418803418803,0.46825396825396826,0.03111111111111111,0.8939393939393939,0.43714285714285717,HIGH_QUALITY
4,Attribute33 <= 0.0 AND Attribute5 != 0.8092,115,0.32763532763532766,0.6031746031746031,0.17333333333333334,0.6608695652173913,0.4298412698412698,HIGH_QUALITY
5,Attribute15 <= 0.0 AND Attribute8 <= 0.01471,52,0.14814814814814814,0.4126984126984127,0.0,1.0,0.4126984126984127,HIGH_QUALITY
6,Attribute15 <= 0.60194 AND Attribute16 <= 0.0,92,0.2621082621082621,0.5238095238095238,0.11555555555555555,0.717391304347826,0.4082539682539683,HIGH_QUALITY
7,Attribute33 <= 0.40956 AND Attribute34 >= -0.16535,136,0.38746438746438744,0.6349206349206349,0.24888888888888888,0.5882352941176471,0.386031746031746,HIGH_QUALITY
8,Attribute33 <= 0.0 AND Attribute15 <= 0.0,79,0.22507122507122507,0.46825396825396826,0.08888888888888889,0.7468354430379747,0.37936507936507935,HIGH_QUALITY
9,Attribute33 <= 0.0 AND Attribute27 != -1.0,108,0.3076923076923077,0.5476190476190477,0.17333333333333334,0.6388888888888888,0.37428571428571433,HIGH_QUALITY
10,Attribute3 != 0.87111 AND Attribute4 != 0.01631,349,0.9943019943019943,1.0,0.9911111111111112,0.36103151862464183,0.008888888888888835,ROC_HULL
