rank,conditions,coverage,coverage_ratio,tpr,fpr,precision,roc_quality,keep_reason
1,odor <= 3.0 AND habitat != 0,4360,0.5366814377154111,0.9771863117870723,0.06332992849846783,0.9431192660550459,0.9138563832886044,ROC_HULL
2,odor <= 3.0 AND gill-color != 0,4176,0.5140324963072378,0.9182509505703422,0.07967313585291114,0.9252873563218391,0.8385778147174311,HIGH_QUALITY
3,odor == 3.0 AND stalk-color-above-ring != 8,3520,0.43328409650418515,0.8098859315589354,0.028600612870275793,0.9681818181818181,0.7812853186886596,HIGH_QUALITY
4,odor <= 3.0 AND stalk-surface-above-ring <= 0.0,3976,0.4894140817331364,0.8650190114068441,0.08580183861082738,0.9154929577464789,0.7792171727960168,HIGH_QUALITY
5,stalk-surface-above-ring != 2.0 AND odor <= 4.0,4984,0.6134908911866076,0.9657794676806084,0.23493360572012256,0.8154093097913323,0.7308458619604858,HIGH_QUALITY
6,odor == 3.0 AND cap-shape <= 3.0,3284,0.40423436730674545,0.7557034220532319,0.026557711950970377,0.9683313032886723,0.7291457101022616,HIGH_QUALITY
7,odor <= 3.0 AND cap-color <= 3.0,3744,0.4608567208271787,0.811787072243346,0.08375893769152196,0.9123931623931624,0.728028134551824,HIGH_QUALITY
8,odor != 4.0 AND stalk-root != 4.0,4060,0.499753815854259,0.8288973384030418,0.14606741573033707,0.8591133004926108,0.6828299226727047,HIGH_QUALITY
9,odor <= 3.0 AND ring-type != 1.0,3536,0.43525356967011325,0.7604562737642585,0.08580183861082738,0.9049773755656109,0.6746544351534312,HIGH_QUALITY
10,odor == 3.0 AND ring-number <= 0.0,2928,0.3604135893648449,0.6844106463878327,0.012257405515832482,0.9836065573770492,0.6721532408720002,HIGH_QUALITY
11,stalk-surface-above-ring <= 0.0 AND odor <= 4.0,4408,0.5425898572131955,0.8650190114068441,0.1961184882533197,0.8257713248638838,0.6689005231535244,HIGH_QUALITY
12,odor != 4.0 AND stalk-surface-below-ring != 3.0,5244,0.6454948301329394,0.9657794676806084,0.30132788559754853,0.7749809305873379,0.6644515820830599,HIGH_QUALITY
13,odor <= 3.0 AND gill-color >= 2.0,3176,0.3909404234367307,0.6958174904942965,0.06332992849846783,0.9219143576826196,0.6324875619958287,HIGH_QUALITY
14,odor == 3.0 AND spore-print-color <= 1.0,2640,0.3249630723781389,0.6273764258555133,0.0,1.0,0.6273764258555133,HIGH_QUALITY
15,odor != 4.0 AND habitat <= 3.0,4612,0.567700640078779,0.8650190114068441,0.24821246169560776,0.7892454466608847,0.6168065497112364,HIGH_QUALITY
16,odor != 4.0 AND ring-type != 1.0,3764,0.4633185622845889,0.7604562737642585,0.14402451481103168,0.8501594048884166,0.6164317589532269,HIGH_QUALITY
17,stalk-surface-below-ring <= 0.0 AND odor <= 4.0,4168,0.5130477597242737,0.8079847908745247,0.1961184882533197,0.8157389635316699,0.611866302621205,HIGH_QUALITY
18,stalk-surface-above-ring != 2.0 AND odor != 0,5496,0.6765140324963073,0.9657794676806084,0.36567926455566907,0.7394468704512372,0.6001002031249394,HIGH_QUALITY
19,spore-print-color <= 1.0 AND population != 0,2880,0.35450516986706054,0.6311787072243346,0.05720122574055159,0.9222222222222223,0.573977481483783,HIGH_QUALITY
20,gill-size != 0.0 AND gill-color != 2.0,4932,0.6070901033973413,0.8783269961977186,0.31562819203268644,0.7493917274939172,0.5626988041650322,HIGH_QUALITY
