Conditions,Coverage,Quality,Original_Quality,TPR,FPR,Precision,Recall,TP,FP,TN,FN
marital-status = 'Married-civ-spouse' AND education-num >= 10.0 AND age >= 30.0 AND fnlwgt >= 84154.0,190,0.91796875,0.46538254618644714,0.5474137931034483,0.08203125,0.6684210526315789,0.5474137931034483,127,63,705,105
age >= 29.0 AND marital-status = 'Married-civ-spouse' AND education-num >= 10.0 AND fnlwgt >= 83311.0,195,0.9166666666666666,0.4813218414783478,0.5646551724137931,0.08333333333333333,0.6717948717948717,0.5646551724137931,131,64,704,101
fnlwgt >= 83082.0 AND marital-status = 'Married-civ-spouse' AND education-num >= 10.0 AND age >= 30.0,191,0.9166666666666666,0.46408045291900635,0.5474137931034483,0.08333333333333333,0.6649214659685864,0.5474137931034483,127,64,704,105
marital-status = 'Married-civ-spouse' AND fnlwgt >= 83311.0 AND education-num >= 10.0 AND age >= 30.0,191,0.9166666666666666,0.46408045291900635,0.5474137931034483,0.08333333333333333,0.6649214659685864,0.5474137931034483,127,64,704,105
age >= 29.0 AND marital-status = 'Married-civ-spouse' AND fnlwgt >= 82465.0 AND education-num >= 10.0,196,0.9153645833333334,0.480019748210907,0.5646551724137931,0.08463541666666667,0.6683673469387755,0.5646551724137931,131,65,703,101
age >= 29.0 AND fnlwgt >= 80145.0 AND marital-status = 'Married-civ-spouse' AND education-num >= 10.0,198,0.9140625,0.48302802443504333,0.5689655172413793,0.0859375,0.6666666666666666,0.5689655172413793,132,66,702,100
age <= 54.0 AND marital-status = 'Married-civ-spouse' AND age >= 29.0 AND education-num >= 10.0,202,0.9036458333333334,0.4553699791431427,0.5517241379310345,0.09635416666666667,0.6336633663366337,0.5517241379310345,128,74,694,104
hours-per-week >= 26.0 AND age >= 30.0 AND marital-status = 'Married-civ-spouse' AND education-num >= 10.0,207,0.9010416666666666,0.4656968414783478,0.5646551724137931,0.09895833333333333,0.6328502415458938,0.5646551724137931,131,76,692,101
hours-per-week >= 26.0 AND marital-status = 'Married-civ-spouse' AND education-num >= 10.0 AND fnlwgt >= 84154.0,207,0.9010416666666666,0.4656968414783478,0.5646551724137931,0.09895833333333333,0.6328502415458938,0.5646551724137931,131,76,692,101
education-num >= 10.0 AND hours-per-week >= 30.0 AND marital-status = 'Married-civ-spouse' AND age >= 30.0,206,0.9010416666666666,0.461386501789093,0.5603448275862069,0.09895833333333333,0.6310679611650486,0.5603448275862069,130,76,692,102
education-num >= 10.0 AND hours-per-week >= 30.0 AND marital-status = 'Married-civ-spouse' AND fnlwgt >= 84154.0,206,0.9010416666666666,0.461386501789093,0.5603448275862069,0.09895833333333333,0.6310679611650486,0.5603448275862069,130,76,692,102
hours-per-week >= 26.0 AND marital-status = 'Married-civ-spouse' AND fnlwgt >= 85812.0 AND education-num >= 10.0,206,0.9010416666666666,0.461386501789093,0.5603448275862069,0.09895833333333333,0.6310679611650486,0.5603448275862069,130,76,692,102
age >= 29.0 AND hours-per-week >= 36.0 AND marital-status = 'Married-civ-spouse' AND education-num >= 10.0,207,0.8997395833333334,0.4600844085216522,0.5603448275862069,0.10026041666666667,0.6280193236714976,0.5603448275862069,130,77,691,102
age >= 29.0 AND marital-status = 'Married-civ-spouse' AND age <= 58.0 AND education-num >= 10.0,211,0.8984375,0.4717133641242981,0.5732758620689655,0.1015625,0.6303317535545023,0.5732758620689655,133,78,690,99
age >= 29.0 AND marital-status = 'Married-civ-spouse' AND education-num >= 10.0 AND hours-per-week <= 60.0,211,0.8958333333333334,0.460488498210907,0.5646551724137931,0.10416666666666667,0.6208530805687204,0.5646551724137931,131,80,688,101
age >= 24.0 AND marital-status = 'Married-civ-spouse' AND age >= 31.0 AND education-num >= 10.0,210,0.8958333333333334,0.4561781585216522,0.5603448275862069,0.10416666666666667,0.6190476190476191,0.5603448275862069,130,80,688,102
education-num >= 9.0 AND marital-status = 'Married-civ-spouse' AND age >= 31.0 AND education-num >= 10.0,210,0.8958333333333334,0.4561781585216522,0.5603448275862069,0.10416666666666667,0.6190476190476191,0.5603448275862069,130,80,688,102
age >= 24.0 AND marital-status = 'Married-civ-spouse' AND fnlwgt >= 84154.0 AND education-num >= 10.0,216,0.89453125,0.4764277935028076,0.5818965517241379,0.10546875,0.625,0.5818965517241379,135,81,687,97
age >= 24.0 AND marital-status = 'Married-civ-spouse' AND education-num >= 10.0 AND fnlwgt >= 85812.0,215,0.89453125,0.47211745381355286,0.5775862068965517,0.10546875,0.6232558139534884,0.5775862068965517,134,81,687,98
education-num >= 9.0 AND marital-status = 'Married-civ-spouse' AND education-num >= 10.0 AND age >= 30.0,218,0.8932291666666666,0.47943606972694397,0.5862068965517241,0.10677083333333333,0.6238532110091743,0.5862068965517241,136,82,686,96
age >= 24.0 AND age >= 29.0 AND marital-status = 'Married-civ-spouse' AND education-num >= 10.0,223,0.8919270833333334,0.4953753650188446,0.603448275862069,0.10807291666666667,0.6278026905829597,0.603448275862069,140,83,685,92
education-num >= 9.0 AND age >= 29.0 AND marital-status = 'Married-civ-spouse' AND education-num >= 10.0,223,0.8919270833333334,0.4953753650188446,0.603448275862069,0.10807291666666667,0.6278026905829597,0.603448275862069,140,83,685,92
education-num >= 9.0 AND marital-status = 'Married-civ-spouse' AND education-num >= 10.0 AND fnlwgt >= 84154.0,219,0.890625,0.4725215435028076,0.5818965517241379,0.109375,0.6164383561643836,0.5818965517241379,135,84,684,97
education-num >= 9.0 AND marital-status = 'Married-civ-spouse' AND fnlwgt >= 83311.0 AND education-num >= 10.0,220,0.8893229166666666,0.4712194800376892,0.5818965517241379,0.11067708333333333,0.6136363636363636,0.5818965517241379,135,85,683,97
age >= 24.0 AND marital-status = 'Married-civ-spouse' AND age <= 58.0 AND education-num >= 10.0,234,0.8736979166666666,0.46421515941619873,0.5905172413793104,0.12630208333333334,0.5854700854700855,0.5905172413793104,137,97,671,95
age >= 24.0 AND marital-status = 'Married-civ-spouse' AND education-num >= 10.0 AND hours-per-week <= 60.0,233,0.8723958333333334,0.4542923867702484,0.5818965517241379,0.12760416666666666,0.5793991416309013,0.5818965517241379,135,98,670,97
