rank,conditions,coverage,coverage_ratio,tpr,fpr,precision,roc_quality,keep_reason
1,relationship != Own-child AND occupation != Other-service AND age >= 28.0,659,0.659,0.9612068965517241,0.5677083333333334,0.33839150227617604,0.8025323275862069,ROC_HULL
2,age >= 28.0 AND marital-status != Separated AND education != 9th,716,0.716,0.9870689655172413,0.6341145833333334,0.3198324022346369,0.8007139008620688,ROC_HULL
3,age >= 28.0 AND relationship != Unmarried AND occupation != Other-service,614,0.614,0.9353448275862069,0.5169270833333334,0.3534201954397394,0.7996632543103447,HIGH_QUALITY
4,marital-status == Married-civ-spouse AND age >= 28.0 AND education != 9th,405,0.405,0.8318965517241379,0.2760416666666667,0.4765432098765432,0.7995150862068965,ROC_HULL
5,age >= 28.0 AND relationship != Unmarried AND marital-status != Never-married,534,0.534,0.8922413793103449,0.42578125,0.38764044943820225,0.7968345905172414,HIGH_QUALITY
6,marital-status != Never-married AND relationship != Not-in-family AND education-num >= 9.0,481,0.481,0.853448275862069,0.3684895833333333,0.41164241164241167,0.7868669181034482,HIGH_QUALITY
7,relationship != Own-child AND occupation != Other-service AND education != 9th,756,0.756,0.9698275862068966,0.69140625,0.2976190476190476,0.7714574353448276,HIGH_QUALITY
8,relationship != Own-child AND occupation != Other-service AND education-num >= 9.0,693,0.693,0.9353448275862069,0.6197916666666666,0.31313131313131315,0.7688038793103448,HIGH_QUALITY
9,marital-status != Never-married AND race != Black,589,0.589,0.8836206896551724,0.5,0.34804753820033957,0.7685344827586207,HIGH_QUALITY
10,relationship != Own-child AND marital-status != Separated AND education != 9th,809,0.809,0.9870689655172413,0.7552083333333334,0.2830655129789864,0.7643857758620689,HIGH_QUALITY
11,marital-status == Married-civ-spouse AND age >= 28.0 AND race != Asian-Pac-Islander,392,0.392,0.7801724137931034,0.2747395833333333,0.461734693877551,0.7636988146551724,HIGH_QUALITY
12,age != 17 AND marital-status != Married-spouse-absent AND education != 9th,953,0.953,1.0,0.9388020833333334,0.24344176285414482,0.7183593749999999,ROC_HULL
13,Population (no conditions),1000,1.0,1.0,1.0,0.232,0.7,ROC_HULL
14,marital-status == Married-civ-spouse AND education-num >= 10.0 AND age >= 28.0,231,0.231,0.6120689655172413,0.11588541666666667,0.6147186147186147,0.693682650862069,ROC_HULL
15,capital-loss != 2415 AND workclass != Self-emp-inc AND hours-per-week != 1,963,0.963,0.9008620689655172,0.9817708333333334,0.21703011422637591,0.636072198275862,ROC_HULL
16,marital-status == Married-civ-spouse AND education-num >= 10.0 AND education != Some-college,162,0.162,0.47844827586206895,0.06640625,0.6851851851851852,0.6149919181034483,ROC_HULL
17,relationship == Husband AND education-num >= 10.0 AND education != Some-college,138,0.138,0.41810344827586204,0.053385416666666664,0.7028985507246377,0.5766567887931036,ROC_HULL
18,capital-loss != 2415 AND capital-gain <= 0.0 AND hours-per-week != 1,915,0.915,0.7887931034482759,0.953125,0.2,0.5662176724137931,ROC_HULL
19,capital-loss != 2415 AND occupation != Exec-managerial AND hours-per-week != 1,872,0.872,0.6896551724137931,0.9270833333333334,0.1834862385321101,0.5046336206896552,ROC_HULL
20,marital-status == Married-civ-spouse AND occupation == Exec-managerial AND workclass != Self-emp-not-inc,65,0.065,0.23275862068965517,0.014322916666666666,0.8307692307692308,0.45863415948275865,ROC_HULL
