rank,conditions,coverage,coverage_ratio,tpr,fpr,precision,roc_quality,keep_reason
1,capital-loss != 2415 AND fnlwgt != 21174 AND hours-per-week != 1,995,0.995,1.0,0.978448275862069,0.771859296482412,0.9021551724137932,ROC_HULL
2,capital-loss != 2415 AND fnlwgt != 21174 AND capital-gain <= 0.0 AND hours-per-week != 1,914,0.914,0.953125,0.7844827586206896,0.8008752735229759,0.879364224137931,ROC_HULL
3,capital-gain == 0.0 AND capital-loss == 0.0 AND fnlwgt != 21174 AND hours-per-week != 1,867,0.867,0.9166666666666666,0.7025862068965517,0.81199538638985,0.8547413793103448,ROC_HULL
4,capital-gain == 0.0 AND education-num <= 10.0 AND fnlwgt != 21174 AND capital-loss != 2415,629,0.629,0.7239583333333334,0.3146551724137931,0.8839427662957074,0.7200969827586208,ROC_HULL
5,capital-loss != 2415 AND capital-gain == 0.0 AND hours-per-week <= 45.0 AND education-num <= 10.0,536,0.536,0.6341145833333334,0.21120689655172414,0.9085820895522388,0.6495824353448276,ROC_HULL
6,age >= 28.0 AND education-num != 1 AND fnlwgt != 115041.25,752,0.752,0.6796875,0.9913793103448276,0.6941489361702128,0.6125808189655172,ROC_HULL
7,age >= 28.0 AND education-num >= 9.0 AND fnlwgt >= 21174,667,0.667,0.5794270833333334,0.9568965517241379,0.6671664167916042,0.5257947198275862,ROC_HULL
8,education-num <= 10.0 AND age <= 36.0 AND capital-gain <= 0.0,337,0.337,0.4231770833333333,0.05172413793103448,0.9643916913946587,0.4756869612068965,ROC_HULL
9,age >= 28.0 AND hours-per-week >= 40.0 AND education-num >= 9.0,557,0.557,0.4596354166666667,0.8793103448275862,0.6337522441651705,0.4257408405172414,ROC_HULL
10,capital-loss != 2415 AND age <= 28.0,272,0.272,0.34765625,0.021551724137931036,0.9816176470588235,0.4107354525862069,ROC_HULL
11,capital-gain == 0.0 AND education-num <= 10.0 AND age <= 28.0 AND capital-loss <= 0.0,194,0.194,0.2526041666666667,0.0,1.0,0.32734375,ROC_HULL
12,age >= 28.0 AND education-num >= 10.0,420,0.42,0.3216145833333333,0.7456896551724138,0.5880952380952381,0.3148841594827586,ROC_HULL
13,age >= 28.0 AND education-num >= 10.0 AND hours-per-week >= 40.0,364,0.364,0.2682291666666667,0.6810344827586207,0.5659340659340659,0.27330280172413796,ROC_HULL
14,age >= 36.0 AND education-num >= 10.0 AND hours-per-week >= 40.0 AND fnlwgt >= 21174,247,0.247,0.1640625,0.521551724137931,0.5101214574898786,0.19550107758620688,ROC_HULL
15,age >= 36.0 AND education-num >= 10.0 AND hours-per-week >= 45.0,109,0.109,0.053385416666666664,0.29310344827586204,0.3761467889908257,0.11873653017241376,ROC_HULL
16,age >= 36.0 AND education-num >= 10.0 AND hours-per-week >= 45.0 AND fnlwgt >= 115041.25,82,0.082,0.036458333333333336,0.23275862068965517,0.34146341463414637,0.10953663793103446,ROC_HULL
17,age >= 28.0 AND hours-per-week >= 40.0 AND capital-gain != 0.0 AND education-num != 10.0,53,0.053,0.022135416666666668,0.15517241379310345,0.32075471698113206,0.10440463362068965,ROC_HULL
