alpha,adaptive_width,total_candidates,auc_approx,best_quality,best_tpr,best_fpr,best_precision,search_time
0.0,17,877,0.45107926993534486,1.0,0.15885416666666666,0.0,1.0,0.6372082233428955
0.1,16,792,0.4503103672772988,0.9259383979885057,0.2981770833333333,0.004310344827586207,0.9956521739130435,0.564279317855835
0.2,15,792,0.4515759698275862,0.8561871408045978,0.2981770833333333,0.004310344827586207,0.9956521739130435,0.5593130588531494
0.3,15,794,0.45083512931034486,0.7907462284482758,0.4231770833333333,0.05172413793103448,0.9643916913946587,0.5708823204040527
0.4,15,736,0.45083512931034486,0.7382363505747127,0.4231770833333333,0.05172413793103448,0.9643916913946587,0.5257275104522705
0.5,15,891,0.41368646731321834,0.7092986709770115,0.6341145833333334,0.21551724137931033,0.9068901303538175,0.6299145221710205
0.6,16,747,0.4873495869252873,0.7050646551724138,0.7239583333333334,0.3232758620689655,0.8811410459587956,0.5274903774261475
0.7,16,798,0.4873495869252873,0.7283045977011494,0.9166666666666666,0.7112068965517241,0.810126582278481,0.5698189735412598
0.8,16,602,0.46405801005747127,0.801293103448276,0.953125,0.8060344827586207,0.7965179542981502,0.42575931549072266
0.9,16,602,0.46405801005747127,0.9,1.0,1.0,0.768,0.43253564834594727
1.0,16,597,0.46405801005747127,1.0,1.0,1.0,0.768,0.42830514907836914
